==13896== Memcheck, a memory error detector
==13896== Copyright (C) 2002-2009, and GNU GPL'd, by Julian Seward et al.
==13896== Using Valgrind-3.6.0.SVN-Debian and LibVEX; rerun with -h for copyright info
==13896== Command: ./anh787-RunCollatz.c++.app
==13896== 
232005 603723 470
63702 854395 470
295101 969443 476
916613 551760 476
471313 506994 426
917804 395965 476
238631 543196 470
925497 342200 476
504915 939682 476
431632 976835 476
332163 961637 476
280913 187973 443
319151 916178 476
864700 805575 450
209733 622803 470
824270 441738 470
740730 887972 468
810337 550035 468
857415 241155 470
101795 328729 443
748148 19600 470
238898 986778 476
77000 164395 383
328979 96119 443
618282 274815 470
72955 950444 476
236452 868071 470
138417 69808 354
298455 517322 470
389587 508187 449
140125 213857 383
464129 880854 470
101829 274466 443
430889 473449 444
515621 46888 470
316382 777973 470
580691 555279 421
764752 657690 442
719673 607935 447
268014 337955 389
882749 340968 470
802604 633405 468
209039 941020 476
703212 21698 470
972546 92799 476
529885 112671 470
306656 508218 449
507729 922688 476
296889 452822 449
396137 812509 470
499710 712518 470
590482 80401 470
267797 869438 470
252296 501675 449
477373 520309 470
353834 360122 379
375481 156438 443
507732 98724 449
611663 210944 470
120422 584209 470
817947 164511 470
211085 124603 383
672728 233018 470
47291 969616 476
685840 957632 476
296330 699754 470
670150 401017 470
294359 452152 449
270455 60859 443
468031 262033 449
95372 821864 470
136359 470852 449
492507 644090 470
569576 104170 470
855034 204202 470
202583 672981 470
368712 927871 476
311788 555644 470
160890 873282 470
39466 360934 443
830914 849999 419
574892 15270 470
251016 869250 470
467421 35676 449
930109 935451 414
297708 539685 470
271520 434066 449
10538 764026 470
592361 580113 434
868195 961599 476
784314 584983 468
634580 667230 429
512854 460572 470
222874 187948 386
333854 262339 407
63086 678973 470
626543 637977 416
694242 877558 468
21433 675867 470
427438 465746 444
125523 239350 443
5431 397042 443
187621 15968 383
161069 779981 470
110285 543468 470
741580 408803 470
642655 890364 468
76033 155510 375
350936 813111 470
857661 198994 470
589654 920747 476
392171 216197 443
72929 86413 351
607960 94361 470
762279 35398 470
560106 402006 470
788952 79742 470
799048 976572 476
95709 474321 449
756553 720198 424
531993 12338 470
129001 174649 383
902701 719238 468
844362 767841 468
46554 702023 470
481039 636207 470
136975 873210 470
366609 209904 443
959622 488773 476
818468 236107 470
524170 892779 468
638112 313122 470
972520 951364 458
803898 68229 470
425685 560451 470
788426 957678 476
572788 431632 470
646531 989693 476
665074 490893 470
757534 711627 424
707120 238574 470
862038 844095 419
111784 742851 470
568203 585610 434
231624 386671 441
335921 269999 389
279450 974033 476
97325 766174 470
925397 901223 476
834403 865287 419
461674 137034 449
337170 548667 470
82870 983700 476
538360 747943 452
474593 810099 470
459570 181713 449
48673 835813 470
540012 674660 452
578664 622419 447
774474 810288 468
9091 110396 354
80287 802744 470
598633 177611 470
568919 38235 470
593038 917526 476
903521 568917 468
568764 240691 470
117584 165839 383
738595 170148 470
913781 213188 476
980246 887556 476
909105 543123 468
723369 963321 476
731987 816237 468
585741 20667 470
140730 109036 349
131062 221016 386
425984 729694 470
912831 509107 476
767928 505869 470
940837 185655 476
588990 509602 470
940549 706573 476
675440 679145 385
390926 103426 443
406537 885376 470
990981 829846 476
428500 228555 449
793168 674691 468
558997 378909 470
695357 699726 367
2149 826418 470
920742 428132 476
70317 347778 443
937239 352450 476
367851 878076 470
538104 956841 476
901882 992857 476
177619 91527 383
672002 82749 470
194953 78540 383
968125 700138 476
422590 396625 449
442898 215758 449
585520 1895 470
108871 280878 443
701620 111019 470
621500 136567 470
53356 206022 383
998548 504799 476
558471 880604 468
897079 610779 468
837445 798962 450
603636 529268 452
404693 789843 470
612017 113850 470
382587 580142 470
813988 805176 406
490971 771090 470
535139 590695 452
287189 644009 470
871572 988808 476
269233 7278 443
639580 322588 470
727503 638128 442
341591 800178 470
518732 238670 470
410957 870381 470
37632 528797 470
913854 956529 445
832844 525871 468
70379 215431 383
620217 398571 470
534812 625392 452
169661 69951 383
216087 456849 449
713959 601864 447
959862 497396 476
123346 113647 349
334188 850848 470
751774 675778 442
651026 784711 468
914448 576187 476
169297 466284 449
619188 83151 470
422813 452033 418
123226 7397 354
181668 257647 443
405967 716479 470
883038 89833 470
786429 613330 468
60886 500389 449
729398 534952 452
511989 366948 470
648598 846177 468
732000 400373 470
521955 383026 470
699288 950607 476
473417 868584 470
416892 92605 449
951735 353909 476
58842 74961 335
361305 240510 441
846812 281477 470
956988 244055 476
371309 743418 470
371589 432194 449
758011 100987 470
481351 270000 449
982138 129949 476
116177 714138 470
530321 638132 452
611368 743813 447
102944 84785 341
612398 519835 452
