==16622== Memcheck, a memory error detector
==16622== Copyright (C) 2002-2009, and GNU GPL'd, by Julian Seward et al.
==16622== Using Valgrind-3.6.0.SVN-Debian and LibVEX; rerun with -h for copyright info
==16622== Command: RunCollatz.c++.app
==16622== 
1 10 20
100 200 125
201 210 89
900 1000 174
864609 940630 476
353493 629439 470
180943 842575 470
749204 914326 476
254341 824309 470
84275 689635 470
181257 693792 470
779869 876176 468
621219 694396 442
333157 974711 476
417983 470323 444
120502 598925 470
829249 920987 476
100463 170554 383
475779 814753 470
333873 376193 441
504387 515129 470
69984 800608 470
344917 462512 449
938178 973646 458
782343 935798 476
9908 712053 470
622703 999386 476
312862 621289 470
107254 513834 470
127992 130690 344
583817 928599 476
991958 998442 365
984587 995277 427
702464 979863 476
319115 919080 476
946859 993459 458
108349 732165 470
789324 814319 468
544323 627538 452
366260 650290 470
44328 840014 470
956566 982671 458
968346 984157 458
628398 634447 385
189077 800082 470
591012 988934 476
788881 820707 468
552123 654497 447
296945 843121 470
731953 797453 468
987870 998202 365
485320 822111 470
602444 814332 468
274102 962580 476
19523 466751 449
51087 435090 449
841364 969046 476
158239 894460 470
759500 772742 468
857039 908126 432
730463 860356 468
733248 853954 468
396153 895749 470
292360 688352 470
451544 933248 476
415228 548462 470
475436 800981 470
126665 335792 443
534228 678465 452
653493 953038 476
652865 696522 442
77754 424470 449
870271 988229 476
620656 758739 442
858499 883616 432
697739 958210 476
600457 703379 447
856131 866935 388
465490 778720 470
724182 957087 476
200543 312011 443
683945 951081 476
455614 577934 470
569532 792025 468
527741 843208 468
851787 933405 476
492074 911592 476
305888 907715 470
674223 827936 468
57510 478128 449
606655 781691 468
942826 982233 458
771188 998376 476
843426 925365 476
477339 617226 470
927096 927824 339
45169 749335 470
351890 719391 470
761973 899276 468
573526 986816 476
179665 346593 443
927486 968734 445
125135 268773 443
738326 831269 468
684679 905112 468
131629 435344 449
740927 849545 468
237063 566452 470
1204 656246 470
632992 960333 476
396009 538058 470
485868 866225 470
561169 591839 434
562286 792869 468
510116 813900 470
440849 945459 476
554826 677918 447
920722 998010 458
399454 830691 470
254622 930387 476
617965 735797 442
881923 962868 476
571989 811228 468
926753 986550 458
629866 764182 442
573661 646105 447
52880 257425 443
685104 878938 468
689343 909685 468
979848 983439 427
107194 982254 476
668875 926300 476
954753 971994 458
18537 366591 443
140000 621795 470
494711 835950 470
303035 829269 470
995894 997170 365
353615 764451 470
587420 978502 476
562628 922446 476
735416 954490 476
343740 575457 470
923569 957492 445
298315 659557 470
976168 992900 427
318311 530092 470
557472 870239 468
94403 342502 443
235894 828478 470
213209 456501 449
50888 177538 383
954640 963445 414
516494 834804 468
605149 908628 468
670852 864589 468
377870 442493 449
958991 962497 370
471216 979668 476
467415 929593 476
715085 766330 424
78218 524132 470
414104 597883 470
459015 866594 470
126497 897922 470
793311 857634 468
623925 972409 476
572718 650936 447
249805 765170 470
708820 796619 468
952322 990014 458
646136 693708 442
345550 717872 470
443806 981418 476
302172 362809 441
717791 753027 424
282283 924490 476
610660 896898 468
699730 867017 468
398037 632186 470
623208 683207 429
100859 714972 470
606322 629941 447
293753 458236 449
864164 956005 476
166335 673795 470
48008 402449 443
956078 972497 458
13108 378636 443
385746 526868 470
570437 924904 476
457025 548111 470
140231 345601 443
779434 895831 468
859238 959346 476
189583 833825 470
823509 959845 476
789829 979976 476
70554 452405 449
559402 945148 476
770362 972608 476
627661 629190 310
489613 819018 470
55239 751330 470
294715 761174 470
585154 634575 447
237370 891335 470
657122 846635 468
387662 727675 470
858349 915874 476
703809 748576 424
686235 780511 468
585505 926285 476
269471 729517 470
822613 898660 432
219130 982021 476
790753 831137 468
643588 806192 468
795352 969643 476
924652 975154 458
357200 427163 449
283820 411569 449
774651 927407 476
928061 978680 458
101673 307352 443
417614 519312 470
629895 729317 442
740379 792963 468
854759 976526 476
819470 947134 476
550647 688872 447
113003 972692 476
524571 900098 468
968983 988866 458
467987 522547 470
44503 271226 443
628320 854473 468
837436 875078 432
429108 664349 470
895313 998767 476
961517 992794 458
130517 236902 443
210997 555394 470
38441 620572 470
714891 753789 424
588160 876135 468
898461 997613 476
321710 641783 470
591486 925362 476
609622 635701 447
650681 817551 468
380514 986414 476
889296 935306 476
606985 962611 476
211895 874327 470
550770 926090 476
930921 995056 458
199417 972467 476
884954 892223 401
306854 478232 449
265949 988666 476
581024 674155 447
179921 603725 470
737052 794709 468
667956 852147 468
179363 358149 443
959220 966581 414
828091 848319 419
590403 852035 468
482625 701823 470
846618 965504 476
531556 702555 452
842617 861287 419
694763 813342 468
735788 756868 424
2052 659827 470
458691 848669 470
924752 955924 445
288572 970429 476
107338 872987 470
129025 892685 470
943436 992988 458
500817 621381 470
427897 918093 476
908781 933504 476
669805 819007 468
870740 991510 476
614666 836452 468
359843 982201 476
845783 955276 476
872500 930529 476
556256 591916 434
638708 980979 476
430323 934643 476
761459 966171 476
505888 959175 476
318975 382082 441
941375 952236 414
880935 966523 476
860655 978672 476
677284 699523 442
185687 780169 470
597956 643413 447
944925 984762 458
673727 760420 442
551085 944821 476
229008 432020 449
114243 337472 443
759835 839919 468
37851 242709 443
700574 781317 468
893435 974952 476
636299 788781 468
981750 992515 427
289894 573823 470
566666 722913 447
34995 312025 443
154932 649496 470
431118 989156 476
687346 887736 468
712501 715293 411
10169 44248 324
521522 985120 476
196899 305296 443
692297 861753 468
287322 951927 476
853987 928076 476
986922 998104 396
169792 323994 443
867342 873682 432
245446 454541 449
595197 700646 447
990890 994820 365
374654 922813 476
875268 969231 476
348341 982039 476
662038 825836 468
770798 995627 476
611143 772928 468
617386 788606 468
977136 987710 427
660926 946126 476
374674 583740 470
89597 930089 476
838739 881345 432
265722 320849 389
62194 253431 443
981775 987410 427
395837 516079 470
807244 819404 450
393171 568650 470
256866 752270 470
612459 713542 447
464970 472863 413
485475 795125 470
148840 339762 443
898965 969642 476
909373 932043 476
92837 370515 443
48930 80246 351
282703 565008 470
403841 671295 470
86475 480110 449
423564 698933 470
84428 137105 354
163902 729772 470
609967 649376 447
548637 960852 476
697477 859817 468
952183 997899 458
997997 999022 396
685609 994430 476
642241 778658 468
533286 607649 452
397873 811461 470
