==19528== Memcheck, a memory error detector
==19528== Copyright (C) 2002-2009, and GNU GPL'd, by Julian Seward et al.
==19528== Using Valgrind-3.6.0.SVN-Debian and LibVEX; rerun with -h for copyright info
==19528== Command: ./RunCollatz.c++.app
==19528== 
1904 6464 262
6643 6959 257
1783 5658 238
4650 5630 236
5366 7638 262
4440 5169 210
5414 9602 262
475 4155 238
2605 6529 262
4657 5939 236
7341 9722 260
9162 9650 260
1690 9640 262
9161 9687 260
4634 8711 262
680 7684 262
4799 7015 262
9331 9474 198
1636 6135 238
1846 8485 262
4217 9865 262
2394 8507 262
678 6379 262
4854 8028 262
8548 8876 216
6657 6880 182
4506 7713 262
9488 9712 198
6975 7912 239
6131 8795 262
5335 7997 262
8658 9573 260
6030 7625 262
50 2352 183
7442 7852 221
4827 8997 262
5865 7032 262
3896 5902 236
442 1424 182
1817 2259 183
1401 2709 209
4962 5079 179
5253 8616 262
6615 6848 182
9828 9956 242
1333 5910 238
6361 7230 257
9821 9874 211
7660 9010 252
9127 9498 260
198 6395 262
3331 8432 262
3591 8031 262
8704 9472 260
125 4059 238
95 4989 238
6037 6756 262
5105 9238 262
8083 8155 190
9227 9831 260
3350 4154 238
2143 4244 238
2687 4083 238
7125 8244 252
7017 7357 195
7729 9390 260
2473 3462 217
6279 9179 257
6905 8950 257
467 2076 182
3475 5866 238
6832 8474 257
2344 7490 262
625 5598 238
9757 9963 242
5563 6871 262
2156 9396 262
5829 8101 262
9503 9581 198
1355 3776 238
1966 8619 262
3836 7465 262
7262 7470 239
7020 8447 252
7994 9483 260
6972 9984 260
3360 9339 262
4900 5429 210
1933 4290 238
4468 9713 262
9240 9452 260
9494 9539 198
3372 8624 262
2942 8665 262
3331 5625 238
3347 3444 181
2978 3143 186
7575 9654 260
2580 7649 262
9886 9915 242
5993 8494 262
6836 7226 257
7962 8808 252
7766 8194 252
1638 4275 238
2843 6630 262
2345 7273 262
9710 9866 211
2190 3542 217
6581 9740 260
1069 8415 262
9106 9720 260
2108 4308 238
4953 7227 262
3926 7104 262
4597 8191 262
6720 9312 260
8704 9127 247
1970 6767 262
7407 9354 260
3955 5269 215
6157 9291 262
6780 7547 257
2390 5732 238
7369 9494 260
8111 9423 260
9499 9587 198
9363 9821 198
7689 8662 252
732 6705 262
4008 7379 262
5691 7932 262
3100 4984 238
2669 3368 217
3883 8083 262
6275 9990 260
9016 9648 260
1178 8772 262
6175 8608 257
8092 9435 260
7237 9057 252
6615 8129 257
7821 9603 260
7547 9528 260
2738 8926 262
4743 4900 197
4161 4811 215
4926 9442 262
2346 4116 238
3802 7856 262
1785 7446 262
3731 9666 262
3589 9280 262
6545 8876 257
8361 9541 260
5012 7432 262
7118 8899 252
5027 8750 262
4124 9623 262
6450 7820 257
2737 7221 262
6363 8591 257
7083 9782 260
8173 9802 260
3390 4160 238
66 4841 238
5354 5382 192
6980 7095 195
142 9159 262
3447 4099 238
4611 7181 262
5439 9165 262
3382 6076 238
6118 7479 262
6479 7518 257
9433 9454 154
8992 9537 260
9594 9950 242
6062 6754 262
1653 1707 180
6183 8833 257
592 8355 262
1066 4837 238
9375 9777 198
9025 9634 260
6502 8009 257
1252 3827 238
4780 7588 262
8075 8893 234
1002 7455 262
9916 9930 149
4607 5720 236
2623 7332 262
2743 7267 262
1524 1902 180
9541 9894 242
6124 6891 262
9217 9997 260
3214 8838 262
3390 4838 238
855 1792 182
1031 2528 209
1000 2621 209
5694 6111 218
3728 4170 189
5907 7236 262
4330 7785 262
8263 8378 234
5016 5951 236
7142 7986 252
6839 7603 257
846 7335 262
3649 4972 238
5752 8069 262
2318 6050 238
5989 8876 262
343 7493 262
2496 3926 238
8539 8914 216
37 6913 262
7815 9246 252
4363 8830 262
4647 9349 262
1409 6121 238
8970 9576 260
8962 9099 185
825 4086 238
4530 6416 262
4677 5567 236
5554 9755 262
4073 6192 262
8449 8817 216
5930 9259 262
4404 4462 184
7639 7880 221
4306 7592 262
8844 9665 260
8866 9933 260
8183 8225 190
6953 8390 252
7357 8409 252
3272 8033 262
9911 9947 167
5278 9929 262
1078 5583 238
552 6807 262
6378 8985 257
9414 9695 198
6812 8729 257
5972 6008 187
6978 8642 252
765 4407 238
1806 2686 209
2319 2536 209
2727 9650 262
793 1038 179
5231 7066 262
554 4873 238
9612 9618 123
8978 9037 185
5612 7842 262
7378 8775 252
9207 9680 260
6726 6908 182
2196 4812 238
311 1726 182
409 7015 262
1095 4096 238
584 8012 262
652 2697 209
2697 9436 262
2586 7034 262
9882 9973 242
6823 8240 257
3183 3309 168
4644 8785 262
481 8312 262
9140 9232 229
3937 7812 262
1179 7260 262
8297 9159 247
8287 8563 234
222 3651 217
3150 5849 238
9509 9649 198
2163 8175 262
7897 9474 260
4215 6446 262
5068 7515 262
9559 9736 198
4778 8502 262
4154 9055 262
2272 5575 238
9131 9748 260
6200 9637 260
1917 2562 209
6000 6069 187
5257 6663 262
715 6412 262
1886 3506 217
1506 8601 262
5518 7841 262
3591 4119 238
4878 7722 262
1028 7685 262
4273 6012 236
4011 9316 262
2054 4584 238
6490 7644 257
2953 7532 262
7179 8958 252
6050 6491 262
1393 6617 262
1679 9744 262
5092 7379 262
2330 7419 262
7993 9379 260
6750 7207 257
3257 9138 262
1152 8394 262
6882 7981 257
5016 8929 262
3172 8404 262
8921 9897 260
2229 7076 262
458 7352 262
9267 9889 242
9923 9954 167
3942 4950 215
395 6474 262
6293 7326 257
9266 9994 242
2891 5655 238
3748 7142 262
4234 7024 262
2177 9586 262
2218 3980 238
77 6090 238
977 8122 262
2281 3301 217
2110 6944 262
5742 7318 262
7685 8410 252
7100 8457 252
8738 9421 260
7050 9652 260
6849 7258 257
8784 8807 141
3291 3300 137
128 599 144
6820 9552 260
4517 7410 262
6837 7373 257
5317 6094 236
5542 7910 262
4453 7038 262
4467 5553 210
919 6428 262
5759 9889 262
3759 8707 262
4621 5488 210
2045 8522 262
1404 4398 238
9392 9463 154
634 5420 238
1705 6133 238
2448 4113 238
4558 6849 262
7173 9137 252
3628 9689 262
6576 8064 257
8962 9590 260
6574 9025 257
4608 5888 236
7539 7675 177
8399 9027 247
4473 5816 236
4479 5065 210
7386 9943 260
6306 6650 244
195 8003 262
922 9365 262
7179 8113 252
620 4227 238
5057 8915 262
2628 2984 217
3760 5646 236
8435 9315 260
6395 8159 257
9372 9735 198
3500 8384 262
3682 3991 238
7968 8212 190
902 7933 262
5865 9394 262
7818 8901 252
8975 9358 260
5979 8087 262
2924 5809 238
6294 9916 260
5666 6826 262
659 1684 182
1971 4738 238
7070 9524 260
3566 8377 262
1901 7044 262
1129 4365 238
1382 4748 238
9380 9808 198
9166 9897 260
695 3673 217
1975 6761 262
7321 7910 239
6635 8506 257
5211 8828 262
6456 8489 257
8525 9927 260
1647 4965 238
8982 9202 198
4479 8915 262
9150 9223 198
8349 9360 260
7043 9216 252
1103 9922 262
1024 8639 262
7583 7764 177
9200 9900 260
2779 6375 262
6285 6447 200
1229 6805 262
2122 4348 238
3635 6443 262
3000 9301 262
2409 6759 262
6382 7360 257
5142 7461 262
3884 8941 262
9629 9936 242
7386 9456 260
6762 9681 260
1613 6902 262
162 6637 262
4051 8989 262
1644 4808 238
3460 9304 262
2734 8533 262
6247 9559 260
8559 8669 172
9663 9731 185
9758 9775 154
7950 9148 252
6121 7298 262
4616 8036 262
4548 8889 262
4723 9293 262
9272 9790 198
8069 8770 234
1162 4277 238
7289 8748 252
5421 9070 262
624 5889 238
6526 8786 257
2889 4430 238
6690 9672 260
2089 4913 238
1028 6632 262
913 8740 262
4568 6687 262
1326 7771 262
422 2288 183
2586 3695 217
9833 9916 242
2038 3053 217
9891 9920 242
4251 7951 262
4711 8800 262
4342 7305 262
8388 9871 260
7423 9199 252
8923 9872 260
3106 3507 199
543 7639 262
6670 8798 257
5 4777 238
5850 7610 262
5268 7766 262
4678 8033 262
8826 9665 260
9119 9249 229
5517 7173 262
8869 9812 260
7161 8804 252
2446 6021 238
