==56702== Memcheck, a memory error detector
==56702== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==56702== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==56702== Command: ./RunCollatz.c++.app
==56702== 
--56702-- ./RunCollatz.c++.app:
--56702-- dSYM directory is missing; consider using --dsymutil=yes
80759 81142 276
32179 38065 324
8902 43390 324
960 98664 351
48304 64290 340
28384 80645 351
70278 97638 351
67361 85162 351
19008 24384 282
1736 18148 279
81295 83999 320
68308 97565 351
7229 89205 351
31626 40709 324
40022 55755 340
85824 86267 302
65799 78024 351
25064 39198 324
79490 92926 333
60607 97085 351
24371 60259 340
97204 99580 328
268 3774 238
85196 91010 333
34655 50813 324
92414 97530 328
92110 92318 284
23739 80347 351
10844 69184 340
93433 99694 328
79049 89424 333
13503 48941 324
64714 74974 325
16988 95999 351
84585 93302 333
17846 96965 351
85866 97318 333
25204 83930 351
91015 99265 333
36949 55310 340
54364 84366 351
91882 96855 328
80143 94811 333
16087 71867 340
5828 82380 351
7133 58979 340
31043 51654 324
15971 92088 351
97738 98615 297
38534 61008 340
76748 84048 351
22541 52602 340
48659 73268 340
77474 77932 245
4871 78797 351
7141 63301 340
47064 84184 351
50329 59613 340
95485 95574 253
50037 59502 340
31664 34547 311
43632 78709 351
9443 85891 351
11854 35764 324
66280 90695 351
39113 49597 314
25187 31571 308
89456 95553 333
69927 92069 351
97902 98234 222
11572 38198 324
35692 85908 351
95010 96606 328
27078 68124 340
99545 99683 266
32636 71598 340
66404 81167 351
37028 60081 340
792 84674 351
21624 24122 282
34714 40534 324
95147 97833 297
82688 85082 320
79771 93179 333
67892 89448 351
71157 93807 351
90904 99920 333
55173 70879 335
2508 45596 324
71094 80795 351
36905 80479 351
5007 22486 279
31266 85139 351
28020 72927 340
87337 95769 333
41409 96571 351
7220 94746 351
62072 87366 351
82395 86315 320
23305 26367 282
22832 32880 308
30545 96125 351
89862 98444 333
35655 54201 340
41238 98534 351
26026 32880 308
59793 73618 335
62679 85533 351
44305 60578 340
68229 78114 351
11194 45729 324
96263 96847 297
23552 60647 340
99212 99897 328
8748 46475 324
17036 61418 340
2969 62338 340
86848 92058 333
69506 91383 351
63632 98785 351
4034 56236 340
22517 51646 324
48635 86937 351
1072 99319 351
87005 96673 333
22314 94077 351
56222 77603 351
94365 95636 328
73783 76451 325
33305 48185 324
30602 56286 340
42731 87880 351
97298 97397 222
60272 79362 351
19589 62110 340
36165 57886 340
78635 95083 338
61224 80398 351
24989 47701 324
81135 92281 333
35561 47212 324
38403 46353 314
6423 6878 244
61854 66199 330
65330 66039 268
85563 92907 333
79040 93891 333
22774 96546 351
26109 34107 308
81540 98163 333
40998 74600 340
73206 88130 351
36829 77381 351
88743 94718 333
7312 68483 340
53255 95032 351
91328 97736 333
21456 80809 351
93782 94403 284
29704 88234 351
11472 88984 351
19043 58411 340
93557 98486 328
81442 94073 333
53211 56994 322
56617 70552 335
18599 52562 340
21128 87755 351
29336 95632 351
44557 88475 351
52340 71592 340
95933 96681 297
32639 79332 351
53805 54353 260
6040 80772 351
56289 68126 335
15606 48920 324
96092 97375 297
86472 98312 333
72593 92307 351
85825 89053 333
13484 93727 351
38549 86837 351
5166 60319 340
38933 89375 351
32424 36577 324
49980 84261 351
