==25367== Memcheck, a memory error detector
==25367== Copyright (C) 2002-2009, and GNU GPL'd, by Julian Seward et al.
==25367== Using Valgrind-3.6.0.SVN-Debian and LibVEX; rerun with -h for copyright info
==25367== Command: RunCollatz.c++.app
==25367== 
1 10 20
100 200 125
201 210 89
900 1000 174
1 1 1
1 2 2
1 4 8
4 1 8
999999 999999 259
1 999999 525
418977 628497 470
180010 21095 383
802952 913008 525
820856 212000 470
932642 381892 525
437253 782561 470
798495 702190 468
618514 640568 416
99565 390511 443
896215 830489 525
651982 209471 470
376937 705091 470
982996 982205 383
10628 388290 443
470076 602304 470
865019 27085 525
797157 961163 525
383993 324175 441
269099 164255 443
264691 103491 443
779365 237931 470
885996 199160 525
620983 995999 525
408484 256692 441
452308 187614 449
221150 682997 470
959635 303698 525
725261 191762 470
28397 645081 470
840794 840449 344
596241 882012 525
281940 507505 449
218340 914369 525
727221 308311 470
810456 210102 470
557069 244615 470
292392 925742 525
994766 511288 525
97581 99625 328
833971 924906 525
521440 39851 470
694989 888291 525
287789 477070 449
670251 904852 525
578032 416435 470
583525 874779 525
237646 784660 470
106693 589282 470
510835 651893 470
813523 711908 468
885475 83449 525
521468 118288 470
945087 116945 525
859230 17670 525
978903 676367 525
72307 920702 525
629542 234009 470
742551 216008 470
577390 886073 525
768439 685038 468
872433 212496 525
131544 122485 344
979465 992555 427
251713 711619 470
802085 256174 470
355655 497882 449
240800 664620 470
583347 700930 447
512895 243609 470
604049 26885 470
967879 963799 383
390168 915028 525
835385 439788 470
272177 749511 470
251883 964373 525
131429 255682 443
512324 380211 470
891944 669427 525
731028 100388 470
716924 22903 470
212558 974381 525
191876 734876 470
972707 977427 383
617766 337985 470
4603 748873 470
938139 560346 525
906066 155459 525
172950 936848 525
323310 972264 525
57550 230341 386
712953 195239 470
568618 252213 470
43199 854945 525
955400 312696 525
755204 338180 470
646571 940324 525
117891 350967 443
981375 487567 525
52671 971505 525
982729 395314 525
110216 234341 443
533359 532520 377
339725 613080 470
768097 932566 525
650008 550098 447
374947 897126 525
556842 600882 434
139385 349227 443
189043 27356 383
730798 198057 470
79278 962958 525
619968 242668 470
41239 275921 443
673195 457878 470
26186 990603 525
414672 748407 470
914169 769329 525
837634 281044 470
403722 258713 441
433262 925770 525
172299 585645 470
899364 364556 525
867539 977980 476
536454 808905 468
993398 283306 525
663179 998313 525
127268 930184 525
885297 118005 525
342814 337727 366
974141 635286 525
528534 341605 470
593328 276405 470
641507 744050 442
646088 926914 525
444958 379148 449
65711 224785 386
979484 36222 525
503237 611294 470
230535 752007 470
493189 610801 470
478747 605775 470
868054 505244 525
799163 423220 470
794608 613730 468
474221 575683 470
106537 410610 449
973817 869635 476
986971 259344 525
440473 204778 449
106612 568213 470
283741 126579 443
971162 746893 525
843166 107399 525
699577 975230 525
823452 192216 470
374890 35656 443
794999 176845 470
169153 827880 470
836998 956887 525
214579 557846 470
997272 53283 525
663074 19023 470
257157 699304 470
399751 420461 449
41455 896480 525
967099 369329 525
731034 751699 424
61026 874019 525
286117 550158 470
987700 126864 525
259941 729075 470
375785 379635 423
369949 231018 441
248769 906222 525
572443 175541 470
524013 13431 470
716658 994466 525
137053 413840 449
368527 14745 443
479271 231470 449
190714 238357 443
806161 516411 468
325419 278320 389
507323 359671 449
184966 489942 449
876076 246266 525
346933 534236 470
801911 508116 470
999777 523049 525
652489 180373 470
830413 741586 468
685202 491752 470
28047 479300 449
131470 182106 383
634219 522138 452
148271 281145 443
444109 425103 400
989161 35607 525
744163 230541 470
727898 963566 525
877461 620644 525
840467 563677 525
373154 752022 470
574151 605328 434
555992 628879 447
390159 91455 443
508527 500273 426
902039 345741 525
929091 833358 525
210793 694736 470
517101 852911 525
94676 259696 443
997245 10129 525
575032 379432 470
917653 415919 525
25521 941290 525
868965 28602 525
410142 71007 449
598398 156966 470
333517 763532 470
468885 181214 449
325828 188880 443
567319 571416 377
319278 889418 525
696803 641922 442
431585 847511 525
201129 747548 470
349256 104569 443
130333 712607 470
981106 490387 525
399703 179419 443
459190 261648 449
108938 512350 470
640320 727780 442
241375 201232 443
603069 251690 470
925549 683484 525
262047 585773 470
728983 495369 470
275853 246722 407
325955 327079 260
515818 36626 470
578034 114660 470
692737 311094 470
754881 575678 447
598730 632699 447
408507 713363 470
820251 391621 470
284888 205332 443
327150 772559 470
962647 69848 525
231947 140048 443
393459 513164 470
329490 53433 443
783109 946185 525
730151 311835 470
437622 898686 525
186682 823206 470
305694 419724 449
248625 371853 441
607806 864817 525
617845 152261 470
574422 452635 470
389782 612779 470
137252 505054 449
576220 430725 470
486395 289345 449
765227 604192 447
760508 536179 452
972818 13017 525
306611 277019 389
559472 438904 470
177680 849997 525
179779 185207 365
850432 432728 525
938190 315488 525
31015 899132 525
867750 553748 525
940157 911417 476
866202 356264 525
406210 756162 470
564541 374889 470
880799 631632 525
161298 585024 470
349659 688660 470
758226 937329 525
219574 83652 386
129564 439485 449
454629 96343 449
965882 458280 525
150059 789132 470
572107 439637 470
914769 557411 525
383187 891469 525
86018 56111 351
426972 330846 449
315781 527363 470
139718 999904 525
75351 636682 470
435058 579155 470
33700 810035 470
875335 395108 525
140834 469449 449
352799 113166 443
167370 91168 383
985554 92957 525
613684 909739 525
804253 110606 470
644751 684395 429
888494 640915 525
122042 316034 443
91342 407923 443
493633 354854 449
710699 515917 452
840567 12208 525
681345 334268 470
708268 574292 447
879013 472726 525
579467 491947 470
238446 151311 443
837715 566893 468
693440 322811 470
324016 250234 407
205814 822577 470
343733 269911 389
556139 818635 468
125304 966774 525
700837 430409 470
657099 563245 447
426655 790613 470
651794 619465 416
409714 707617 470
930374 352444 525
60127 674861 470
89541 147377 375
611451 541284 452
134739 871360 525
277944 230694 407
158193 942333 525
848716 709089 525
18840 11883 279
748735 451992 470
607634 184014 470
553622 262214 470
153142 422174 449
582039 460443 470
433662 688855 470
808505 364069 470
849798 846126 419
768810 882442 525
966435 733022 525
905084 892850 401
418334 478175 444
830829 856769 525
529356 666488 452
264081 928514 525
36107 488684 449
420958 42527 449
912155 19088 525
401876 728908 470
617366 543932 452
473287 470916 338
188622 268832 443
967434 637292 525
273281 881326 525
137722 658771 470
651707 551285 447
442212 781403 470
141897 576270 470
453844 57457 449
432277 530671 470
524475 952759 525
500643 944285 525
537660 699331 452
25767 463230 449
906835 315329 525
781312 2316 470
769122 755060 468
636949 2726 470
767834 328601 470
734155 489600 470
888642 776428 525
130464 638779 470
339495 915268 525
143399 735248 470
364321 406169 436
855008 82597 525
897405 729958 525
447731 100994 449
315404 298729 384
902217 48029 525
5895 270728 443
169863 176145 347
946973 824590 525
28264 360877 443
927643 989074 458
367734 436841 449
506359 379768 449
906469 288052 525
481977 934289 525
508172 329832 449
192519 459422 449
298369 877087 525
746507 684978 442
4943 970527 525
185859 346677 443
233814 403761 441
835492 19908 470
979648 412111 525
373804 48310 443
611676 880571 525
164995 335546 443
21080 268460 443
463181 15388 449
133279 496227 449
538831 934374 525
705613 974685 525
925115 515683 525
275915 758625 470
716570 208383 470
234380 856185 525
746132 383818 470
184675 452029 449
369823 269339 441
880254 895946 401
675074 294161 470
793795 926674 525
483845 19061 449
652165 220365 470
392503 781819 470
774051 853454 525
565851 688743 447
199485 71152 383
556784 125133 470
856340 470127 525
780700 15921 470
76733 287955 443
561780 27852 470
572610 556294 421
327915 713584 470
610902 277511 470
395284 938371 525
791858 780215 406
610901 592615 403
865296 515537 525
247594 765434 470
368323 841911 525
681811 595129 447
77425 658727 470
420636 255679 449
186351 173132 365
342407 767532 470
910071 599665 525
695127 74913 470
979848 175888 525
149371 756839 470
787354 987849 525
44758 460271 449
170941 796718 470
5543 765940 470
801357 271675 470
409434 759100 470
343828 509219 449
782506 770622 437
957820 51397 525
63217 177182 383
88687 843262 525
265229 269460 345
726797 537175 452
184369 820010 470
377801 157791 443
303877 285732 389
53345 473684 449
725435 18681 470
778168 506939 470
635504 408640 470
680657 179983 470
230714 70822 443
967978 486998 525
845012 905179 432
464947 491278 413
896483 354765 525
640617 315463 470
22692 903181 525
958036 410506 525
862453 305677 525
229721 950135 525
153020 202506 383
122108 411309 449
790072 842887 525
77367 754657 470
645666 938479 525
151535 180562 383
757823 196892 470
360729 580051 470
851397 262773 525
