==21453== Memcheck, a memory error detector
==21453== Copyright (C) 2002-2009, and GNU GPL'd, by Julian Seward et al.
==21453== Using Valgrind-3.6.0.SVN-Debian and LibVEX; rerun with -h for copyright info
==21453== Command: RunCollatz.c++.app
==21453== 
1 10 20
1 1 1
1 999999 476
100 1 119
214388 835833 470
17016 361928 443
390257 498593 449
257068 794546 470
652810 937305 476
28558 302611 443
339239 743187 470
346632 284875 441
404707 171856 443
59913 246090 443
503462 879526 470
867817 930798 476
430052 132306 449
277527 121542 443
458682 394410 449
902784 967941 476
84801 37359 351
737964 601710 447
330395 416929 449
913218 530154 476
936269 936390 277
879630 880078 344
582838 583304 328
47410 47878 283
533613 534381 346
667088 667763 336
177197 177342 334
262527 262922 270
57245 57358 229
474884 475430 320
212730 212914 249
14859 15114 271
464153 464658 338
994320 994477 365
930860 931387 308
353155 353380 304
81422 81925 289
594204 594479 328
476472 476800 276
124717 124785 225
824031 824093 207
58476 58572 273
683757 683953 380
999666 1000090 290
186848 187426 329
785399 785533 287
783155 783885 331
612458 612609 279
454226 454544 338
872795 873032 295
532159 532802 377
613236 613423 310
113024 113603 292
218073 218288 249
618024 618604 310
247426 247883 319
839007 839788 388
446000 446332 294
170480 171164 334
780564 780809 300
13855 14227 258
279165 279638 283
974560 975059 334
839734 840080 282
503991 504202 333
428986 429574 281
8189 8544 234
26714 26840 246
928022 928767 383
71437 71650 250
777570 777951 269
538146 538546 346
555015 555206 346
261640 262379 301
264174 264628 332
314136 314691 234
836984 837401 313
38321 38942 244
193841 194170 329
959952 960664 352
73566 73748 232
427561 428157 374
542620 543078 271
420941 421048 219
49919 50023 203
900796 901219 277
263784 264383 332
716733 717106 336
102307 102735 310
330124 330817 322
253739 254454 301
894517 895146 370
585142 585309 297
948126 948236 321
10051 10083 136
715209 715708 305
405383 405900 343
535143 535422 284
906081 906421 370
804287 804531 331
658246 658787 354
608827 609584 359
7145 7844 239
192361 192778 347
751181 751848 318
701613 701644 199
346556 347322 348
254449 254899 257
275512 275903 252
650039 650238 230
771855 771982 269
866283 866659 326
437911 438311 294
218426 218651 293
890559 891009 326
658015 658064 398
646215 646320 248
416662 417197 343
203755 204164 236
911069 911255 339
238639 239244 350
227539 227689 262
768319 768357 256
304889 305347 278
30550 30883 254
890861 891619 326
696351 697116 336
681551 682263 336
582938 583563 328
346267 346731 348
229737 230349 306
184393 184895 254
192448 192952 347
673700 674495 367
239229 239269 231
784892 785602 300
511387 511828 320
141398 142157 326
198628 198735 298
659786 660454 323
835233 835313 207
224681 225268 368
382479 382914 317
330293 330592 291
449183 449639 369
499284 499367 227
145370 145553 251
882376 882501 295
880433 881167 295
427417 427459 250
621642 622272 372
333386 333427 216
66068 66193 268
745926 746508 287
822463 822574 313
315301 315426 309
923745 923974 308
637629 638063 354
363188 363566 273
952501 952928 277
693238 693333 349
128688 128955 331
703283 703873 349
431767 432097 294
252321 252417 257
68272 68507 312
236652 236905 306
714748 714900 274
467133 467210 245
58093 58140 211
738614 738866 424
487087 487445 320
554584 554673 284
10194 10272 242
645961 646003 173
670660 671430 323
12701 12909 201
593238 593475 328
84397 84718 289
512813 513160 333
423970 424181 312
853256 853799 357
101504 101715 310
695448 696101 336
657087 657777 323
245745 246037 288
10578 10964 255
472340 473005 338
769931 770563 331
920419 920675 308
971914 972386 277
857287 858066 357
857318 857667 357
99544 99704 266
619210 619382 341
451505 451902 294
832602 833087 388
495032 495069 227
46952 47033 252
642842 643499 354
880573 881341 295
469534 469738 338
59299 59972 304
696101 696472 305
352998 353786 304
222477 222732 293
472954 473177 307
581434 581459 328
593998 594454 328
434556 435028 356
927561 928163 308
495234 495600 289
525917 526117 302
944889 945635 352
359079 359319 242
138047 138117 238
499532 499642 276
775556 775673 300
350739 351149 273
939132 939812 339
695340 695651 336
674426 674941 248
91903 92021 209
136595 137242 331
24738 25331 264
631905 632434 385
588776 589147 284
521212 521482 364
180089 180128 197
344563 345351 304
989564 990088 352
51079 51792 309
891273 891896 326
361066 361251 348
732652 733364 318
555888 556659 346
869546 869936 357
976466 977182 334
307676 308233 371
520057 520699 333
719287 719773 274
565941 566229 266
203188 203496 280
655463 655787 323
387227 387650 286
479703 479839 245
753501 753892 331
909679 910404 476
532168 532202 240
141002 141746 282
262920 263190 407
369043 369201 348
464674 465076 263
975821 976037 290
876792 877163 295
207329 207350 249
454742 455083 307
855080 855738 388
391882 392274 330
823123 823566 331
673060 673637 336
131494 131562 225
59786 60266 317
849143 849351 313
534989 535081 271
141506 142112 326
448281 448809 338
450796 451406 307
894670 895222 326
417609 417749 281
892370 892392 295
309653 310002 340
647095 647140 217
262919 263708 407
971476 971488 290
136773 136846 238
133684 133992 300
880230 880819 326
607392 608043 341
881565 882342 326
231074 231738 350
159275 159829 352
543997 544394 302
683176 683619 336
354112 354453 348
198220 198652 329
430804 431112 325
816237 816533 238
927180 927913 339
506199 506684 364
544166 544804 315
683040 683048 199
982644 983110 383
430305 430365 281
214162 214598 280
883741 884307 370
569246 569874 359
402938 402938 69
337341 337427 221
873736 874343 326
62154 62173 180
597806 597908 253
465104 465608 369
293169 293724 358
469255 469543 307
413800 414314 312
892072 892169 295
148448 148827 326
109378 109925 310
910981 911355 339
493967 494684 307
194288 194765 267
630232 630377 341
541393 541405 165
153048 153839 308
332583 332990 335
23108 23338 207
889336 890004 370
652623 653140 336
153156 153454 308
532750 532989 240
102236 102434 310
674111 674533 367
122762 123390 318
994754 995052 277
336601 337029 291
865816 866504 326
144362 144505 233
757512 758059 318
784941 785618 300
641286 641991 372
184517 184967 285
512751 512802 214
352951 353525 304
794309 794862 300
516942 517735 333
762749 762889 256
144187 144707 326
952959 953146 277
924624 924658 308
366742 366916 304
214219 214883 280
923504 924031 308
386538 387025 255
891978 892488 295
870215 870471 326
526931 527440 377
849789 850229 357
462957 463623 325
635032 635098 279
783000 783104 300
539884 539929 346
280966 281124 270
447812 448132 263
537843 538194 346
500185 500874 364
115946 116633 305
869583 869937 357
382482 382924 317
41544 42129 257
685335 685404 349
58655 58836 273
168950 169625 334
901766 902457 401
259688 259700 226
292790 293432 358
432959 432963 219
90028 90065 196
191744 191905 223
577376 577608 271
922147 922444 277
192331 192743 347
582208 582219 191
734924 735553 380
500292 500925 333
856354 856520 295
66288 66471 237
236147 236518 337
908033 908561 370
764735 764754 362
783209 783707 300
250522 251098 319
447663 448262 325
994881 995485 290
978022 978501 383
919479 919622 264
436525 436666 325
64729 65132 268
873811 874472 326
979195 979778 334
273586 273778 314
663328 663729 292
272099 272754 314
493970 494718 307
78105 78897 338
55133 55738 260
794234 794696 300
298520 298569 203
515115 515786 395
507715 507806 258
803174 803279 238
456754 457303 356
266804 267402 345
763471 764264 300
282043 282098 252
813430 814191 344
