==13758== Memcheck, a memory error detector
==13758== Copyright (C) 2002-2009, and GNU GPL'd, by Julian Seward et al.
==13758== Using Valgrind-3.6.0.SVN-Debian and LibVEX; rerun with -h for copyright info
==13758== Command: ../cs378-collatz/RunCollatz.c++.app
==13758== 
1 999999 525
999999 1 525
1 1 1
999999 999999 259
10 11 15
11 10 15
1 1000 179
1001 2000 182
2001 3000 217
3001 4000 238
4001 5000 215
5001 6000 236
6001 7000 262
7001 8000 252
8001 9000 247
9001 10000 260
10001 11000 268
11001 12000 250
12001 13000 263
13001 14000 276
14001 15000 271
15001 16000 271
16001 17000 266
17001 18000 279
18001 19000 261
19001 20000 274
20001 21000 256
21001 22000 269
22001 23000 269
23001 24000 282
24001 25000 264
25001 26000 264
26001 27000 308
27001 28000 259
28001 29000 259
29001 30000 272
30001 31000 272
31001 32000 285
32001 33000 267
33001 34000 267
34001 35000 311
35001 36000 324
36001 37000 249
37001 38000 306
38001 39000 244
39001 40000 306
40001 41000 288
41001 42000 257
42001 43000 288
43001 44000 270
44001 45000 270
45001 46000 314
46001 47000 283
47001 48000 314
48001 49000 296
49001 50000 296
50001 51000 278
51001 52000 309
52001 53000 340
53001 54000 322
54001 55000 260
55001 56000 260
56001 57000 322
57001 58000 304
58001 59000 273
59001 60000 304
60001 61000 335
61001 62000 317
62001 63000 286
63001 64000 330
64001 65000 299
65001 66000 268
66001 67000 268
67001 68000 312
68001 69000 312
69001 70000 299
70001 71000 312
71001 72000 325
72001 73000 263
73001 74000 294
74001 75000 325
75001 76000 307
76001 77000 307
77001 78000 351
78001 79000 338
79001 80000 307
80001 81000 320
81001 82000 320
82001 83000 320
83001 84000 289
84001 85000 320
85001 86000 302
86001 87000 302
87001 88000 333
88001 89000 333
89001 90000 315
90001 91000 315
91001 92000 333
92001 93000 315
93001 94000 284
94001 95000 315
95001 96000 328
96001 97000 297
97001 98000 297
98001 99000 284
99001 100000 328
100001 101000 341
101001 102000 310
102001 103000 310
103001 104000 248
104001 105000 310
105001 106000 341
106001 107000 354
107001 108000 292
108001 109000 279
109001 110000 310
110001 111000 292
111001 112000 323
112001 113000 323
113001 114000 292
114001 115000 305
115001 116000 349
116001 117000 305
117001 118000 305
118001 119000 336
119001 120000 305
120001 121000 318
121001 122000 336
122001 123000 318
123001 124000 331
124001 125000 287
125001 126000 318
126001 127000 331
127001 128000 287
128001 129000 331
129001 130000 344
130001 131000 331
131001 132000 300
132001 133000 331
133001 134000 313
134001 135000 300
135001 136000 344
136001 137000 313
137001 138000 331
138001 139000 313
139001 140000 313
140001 141000 344
141001 142000 326
142001 143000 375
143001 144000 282
144001 145000 326
145001 146000 295
146001 147000 357
147001 148000 295
148001 149000 326
149001 150000 326
150001 151000 370
151001 152000 295
152001 153000 308
153001 154000 308
154001 155000 352
155001 156000 308
156001 157000 383
157001 158000 339
158001 159000 321
159001 160000 352
160001 161000 370
161001 162000 290
162001 163000 339
163001 164000 321
164001 165000 334
165001 166000 321
166001 167000 352
167001 168000 321
168001 169000 321
169001 170000 334
170001 171000 290
171001 172000 334
172001 173000 303
173001 174000 347
174001 175000 334
175001 176000 272
176001 177000 334
177001 178000 334
178001 179000 347
179001 180000 303
180001 181000 365
181001 182000 316
182001 183000 334
183001 184000 254
184001 185000 316
185001 186000 329
186001 187000 347
187001 188000 329
188001 189000 316
189001 190000 360
190001 191000 329
191001 192000 329
192001 193000 347
193001 194000 329
194001 195000 342
195001 196000 360
196001 197000 298
197001 198000 285
198001 199000 329
199001 200000 329
200001 201000 342
201001 202000 311
202001 203000 342
203001 204000 311
204001 205000 311
205001 206000 355
206001 207000 373
207001 208000 311
208001 209000 311
209001 210000 311
210001 211000 342
211001 212000 355
212001 213000 355
213001 214000 373
214001 215000 293
215001 216000 280
216001 217000 386
217001 218000 324
218001 219000 324
219001 220000 355
220001 221000 324
221001 222000 355
222001 223000 324
223001 224000 324
224001 225000 324
225001 226000 368
226001 227000 368
227001 228000 306
228001 229000 355
229001 230000 306
230001 231000 443
231001 232000 350
232001 233000 337
233001 234000 368
234001 235000 381
235001 236000 306
236001 237000 337
237001 238000 350
238001 239000 306
239001 240000 350
240001 241000 368
241001 242000 275
242001 243000 319
243001 244000 337
244001 245000 275
245001 246000 319
246001 247000 332
247001 248000 350
248001 249000 288
249001 250000 350
250001 251000 332
251001 252000 319
252001 253000 319
253001 254000 332
254001 255000 363
255001 256000 288
256001 257000 332
257001 258000 345
258001 259000 301
259001 260000 345
260001 261000 332
261001 262000 332
262001 263000 301
263001 264000 407
264001 265000 332
265001 266000 332
266001 267000 314
267001 268000 345
268001 269000 270
269001 270000 345
270001 271000 416
271001 272000 283
272001 273000 314
273001 274000 358
274001 275000 332
275001 276000 345
276001 277000 314
277001 278000 389
278001 279000 345
279001 280000 314
280001 281000 345
281001 282000 358
282001 283000 314
283001 284000 358
284001 285000 358
285001 286000 376
286001 287000 314
287001 288000 327
288001 289000 398
289001 290000 345
290001 291000 327
291001 292000 327
292001 293000 340
293001 294000 358
294001 295000 296
295001 296000 358
296001 297000 327
297001 298000 327
298001 299000 371
299001 300000 327
300001 301000 371
301001 302000 296
302001 303000 340
303001 304000 340
304001 305000 340
305001 306000 265
306001 307000 309
307001 308000 309
308001 309000 371
309001 310000 340
310001 311000 371
311001 312000 309
312001 313000 384
313001 314000 340
314001 315000 278
315001 316000 340
316001 317000 353
317001 318000 309
318001 319000 353
319001 320000 322
320001 321000 371
321001 322000 353
322001 323000 309
323001 324000 322
324001 325000 384
325001 326000 340
326001 327000 247
327001 328000 322
328001 329000 291
329001 330000 353
330001 331000 322
331001 332000 291
332001 333000 353
333001 334000 335
334001 335000 322
335001 336000 322
336001 337000 366
337001 338000 366
338001 339000 335
339001 340000 366
340001 341000 304
341001 342000 335
342001 343000 353
343001 344000 335
344001 345000 304
345001 346000 441
346001 347000 348
347001 348000 322
348001 349000 335
349001 350000 366
350001 351000 304
351001 352000 379
352001 353000 335
353001 354000 304
354001 355000 348
355001 356000 379
356001 357000 348
357001 358000 304
358001 359000 379
359001 360000 348
360001 361000 419
361001 362000 348
362001 363000 361
363001 364000 317
364001 365000 317
365001 366000 361
366001 367000 348
367001 368000 286
368001 369000 317
369001 370000 361
370001 371000 392
371001 372000 348
372001 373000 317
373001 374000 348
374001 375000 330
375001 376000 361
376001 377000 423
377001 378000 361
378001 379000 330
379001 380000 361
380001 381000 379
381001 382000 374
382001 383000 361
383001 384000 330
384001 385000 330
385001 386000 348
386001 387000 330
387001 388000 299
388001 389000 330
389001 390000 436
390001 391000 361
391001 392000 330
392001 393000 299
393001 394000 361
394001 395000 405
395001 396000 312
396001 397000 330
397001 398000 330
398001 399000 374
399001 400000 299
400001 401000 374
401001 402000 387
402001 403000 268
403001 404000 343
404001 405000 343
405001 406000 414
406001 407000 361
407001 408000 268
408001 409000 312
409001 410000 312
410001 411000 449
411001 412000 330
412001 413000 343
413001 414000 374
414001 415000 374
415001 416000 312
416001 417000 387
417001 418000 343
418001 419000 343
419001 420000 281
420001 421000 343
421001 422000 325
422001 423000 356
423001 424000 418
424001 425000 356
425001 426000 356
426001 427000 356
427001 428000 374
428001 429000 294
429001 430000 281
430001 431000 312
431001 432000 343
432001 433000 396
433001 434000 343
434001 435000 356
435001 436000 281
436001 437000 325
437001 438000 387
438001 439000 400
439001 440000 356
440001 441000 325
441001 442000 294
442001 443000 356
443001 444000 338
444001 445000 325
445001 446000 338
446001 447000 325
447001 448000 325
448001 449000 369
449001 450000 369
450001 451000 387
451001 452000 307
452001 453000 294
453001 454000 369
454001 455000 338
455001 456000 338
456001 457000 356
457001 458000 338
458001 459000 307
459001 460000 307
460001 461000 307
461001 462000 444
462001 463000 369
463001 464000 325
464001 465000 338
465001 466000 369
466001 467000 369
467001 468000 413
468001 469000 382
469001 470000 338
470001 471000 307
471001 472000 276
472001 473000 338
473001 474000 307
474001 475000 382
475001 476000 320
476001 477000 307
477001 478000 382
478001 479000 351
479001 480000 351
480001 481000 422
481001 482000 382
482001 483000 351
483001 484000 307
484001 485000 320
485001 486000 338
