==5414== Memcheck, a memory error detector
==5414== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==5414== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==5414== Command: ./RunCollatz.c++.app
==5414== 
348 932 179
75 265 128
401 914 179
423 938 179
695 965 179
328 397 126
335 598 142
366 654 145
255 443 144
236 958 179
51 259 128
74 409 144
913 972 174
674 938 179
116 896 179
399 512 142
243 776 171
509 825 171
176 600 144
140 798 171
125 294 128
243 888 179
254 811 171
605 897 179
484 508 142
563 910 179
95 988 179
7 670 145
343 959 179
296 426 144
591 807 171
824 833 135
1 583 144
110 693 145
490 600 142
245 602 144
489 967 179
129 487 144
94 735 171
734 954 179
296 571 144
665 863 171
283 885 179
23 593 144
227 318 131
18 169 122
125 193 125
59 354 144
46 193 125
144 520 144
121 888 179
388 854 171
875 962 174
55 334 144
67 961 179
8 531 144
223 714 171
195 996 179
107 569 144
685 940 179
239 957 179
363 854 171
207 502 144
46 773 171
292 604 144
190 491 144
577 765 171
696 726 171
30 803 171
132 764 171
96 140 122
162 294 128
714 841 153
157 820 171
97 761 171
856 999 179
405 709 171
713 906 179
267 485 144
871 952 179
129 493 144
361 893 179
69 409 144
224 970 179
101 438 144
885 987 174
240 632 144
46 305 128
555 824 171
476 937 179
3 332 144
407 935 179
392 648 142
11 665 145
484 968 179
881 964 174
460 593 142
856 880 179
1 825 171
103 790 171
278 441 144
675 869 171
72 73 116
174 248 128
649 978 179
184 980 179
332 471 134
724 739 140
118 403 144
734 953 179
722 966 179
181 917 179
124 558 144
412 911 179
301 515 144
52 578 144
78 955 179
379 446 134
150 971 179
127 979 179
162 620 144
459 951 179
197 632 144
26 101 119
111 951 179
406 672 145
76 322 131
204 986 179
615 797 171
248 449 144
299 481 144
26 788 171
377 824 171
518 878 179
496 794 171
356 765 171
10 814 171
68 993 179
93 362 144
94 312 128
499 556 137
335 631 142
172 538 144
320 968 179
215 505 144
337 769 171
146 866 171
124 594 144
321 642 144
115 471 144
489 826 171
231 498 144
298 992 179
353 491 142
584 743 171
17 298 128
351 434 134
280 957 179
241 248 110
628 745 171
396 814 171
81 679 145
557 894 179
214 624 144
94 198 125
680 686 127
272 911 179
263 536 144
26 208 125
950 967 143
961 983 143
247 746 171
334 527 142
574 702 145
126 681 145
670 939 179
102 429 144
322 970 179
593 658 145
207 535 144
39 567 144
245 310 123
477 780 171
36 924 179
805 890 179
765 986 179
584 873 179
510 558 137
462 563 142
131 587 144
152 243 128
671 878 179
199 253 128
263 344 144
143 231 128
181 469 144
713 797 153
625 842 171
765 844 153
648 660 145
42007 55997 340
16879 36764 324
21933 30625 308
20788 48394 324
43270 64539 340
31333 64782 340
53421 62562 335
12804 58025 340
86500 89112 333
8287 77254 351
21108 73730 340
77526 93787 338
37172 80628 351
21150 45016 324
1161 12745 268
48015 54751 340
57158 84779 351
79090 87981 333
8768 15403 276
43835 96294 351
52037 75167 340
21809 77427 351
54080 90230 351
43191 79833 351
4472 93081 351
36797 66810 340
25579 30583 308
60687 79102 351
27562 81836 351
24117 40306 324
72132 99349 351
11408 56506 340
15740 73262 340
5016 35595 311
40859 95781 351
1309 9247 262
70948 78735 351
31055 41379 324
27240 85317 351
78397 84570 338
21366 48063 324
45207 73641 340
22245 68300 340
69094 95861 351
20433 93211 351
19781 52519 324
63926 81694 351
54955 76286 335
28232 96018 351
36876 59970 340
24012 61279 340
11311 46123 324
56365 93529 351
41681 52690 340
37120 53611 340
20078 85182 351
81636 91328 333
59627 75174 335
3880 44268 324
24312 55487 340
24357 37478 324
35523 60444 340
4635 36729 324
652 90477 351
66798 81312 351
5324 53879 340
16353 28076 308
32986 84441 351
2027 9882 262
42473 47001 314
71989 78902 351
48535 63316 340
23708 76889 340
22942 80769 351
67975 94781 351
21432 21804 207
19137 81876 351
40123 57326 340
34956 64154 340
16268 40774 324
30952 94653 351
37943 75379 340
27357 87280 351
37238 76171 340
18644 89307 351
591 61295 340
65477 97545 351
40963 90786 351
80256 89184 333
71554 73511 294
9337 75036 340
10525 11666 268
7564 85344 351
42520 50647 314
7773 49497 324
75139 96800 351
18777 29433 308
46133 72179 340
16712 48349 324
22370 99723 351
313 83344 351
17 97241 351
40979 65789 340
71324 88026 351
21234 75931 340
12622 61186 340
72852 85267 351
9183 23146 279
58195 90144 351
24043 68054 340
14268 43192 324
