==20569== Memcheck, a memory error detector
==20569== Copyright (C) 2002-2009, and GNU GPL'd, by Julian Seward et al.
==20569== Using Valgrind-3.6.0.SVN-Debian and LibVEX; rerun with -h for copyright info
==20569== Command: RunCollatz.c++.app
==20569== 
1 10 20
100 200 125
201 210 89
900 1000 174
291188 931733 525
694459 638630 449
749751 238760 509
886106 762142 525
517246 642611 509
203388 491378 449
369474 521162 470
899808 515894 525
181906 384967 443
89477 457040 449
5247 595890 470
702862 958156 525
466119 22392 449
723141 665357 504
176213 703604 509
515031 981604 525
635338 723694 504
134439 899293 525
962453 20546 525
175640 479699 449
177361 379027 443
485281 546834 470
414393 899294 525
576933 596298 434
798465 666409 507
567543 803711 509
776504 270405 509
761868 242623 509
807000 999213 525
907979 497417 525
702817 423010 509
479022 338155 449
660909 127665 509
751652 623362 509
662414 927291 525
617266 353980 470
820522 102547 509
900813 234916 525
516045 991950 525
345418 314511 384
172565 427165 449
118222 949068 525
697569 394294 509
705895 504570 509
393507 613874 470
1987 96325 351
551088 995212 525
948683 211997 525
637082 700336 449
349564 299496 441
141832 481034 449
653475 962354 525
97785 68494 351
711474 613830 509
574648 571096 372
928340 261417 525
998261 560766 525
724689 210035 509
955060 430584 525
228809 348567 443
558662 745000 509
959095 109751 525
740212 907779 525
835951 891498 525
122320 699719 509
705199 778355 468
180753 872878 525
254914 278538 440
455576 966387 525
406572 30225 443
51689 334912 443
805845 49950 509
409882 530535 470
259984 364942 443
961118 488793 525
227714 519781 470
747997 701013 504
143736 2414 375
122997 493891 449
893912 245316 525
193611 599111 470
537876 888567 525
471989 792789 509
167105 441770 449
759177 87881 509
471994 325070 449
936996 277839 525
375019 346879 443
322578 149207 443
711820 283697 509
152204 453738 449
317682 900200 525
154752 975621 525
902614 277748 525
469512 796526 509
37269 663122 509
909841 575144 525
65895 896034 525
367933 232999 443
337804 641314 509
320880 324002 353
966383 257876 525
116046 855606 525
118959 438623 449
4814 344984 443
236524 671221 509
798721 68410 509
571422 467677 470
44031 988240 525
259630 513543 470
298971 296898 371
690869 208812 509
386246 756763 509
619050 268383 470
503967 471059 446
909697 339051 525
309265 390285 443
111131 939514 525
760096 230090 509
378138 279114 443
575073 128866 470
950334 887998 515
197276 35961 383
355676 755510 509
24201 615305 470
269053 323171 440
426407 474127 444
46187 812652 509
230890 179442 443
81035 249061 443
650500 504936 509
588111 473969 470
409426 213447 443
413484 169522 449
443536 305826 449
962839 532813 525
434691 913173 525
420811 146171 449
949134 290691 525
901681 487539 525
905995 684938 525
810710 846606 525
159065 371101 443
659258 389955 509
550542 254498 470
153220 715246 509
273638 741331 509
189216 683063 509
954777 116904 525
366789 912517 525
422729 329628 449
445330 857419 525
757006 380345 509
517795 220345 470
671036 419476 509
