==29901== Memcheck, a memory error detector
==29901== Copyright (C) 2002-2009, and GNU GPL'd, by Julian Seward et al.
==29901== Using Valgrind-3.6.0.SVN-Debian and LibVEX; rerun with -h for copyright info
==29901== Command: RunCollatz.c++.app
==29901== 
692914 528382 452
321915 454094 449
922900 782839 525
814718 353774 470
520061 234193 470
339640 793127 470
893573 52910 525
270770 758817 470
120060 683306 470
479311 433916 444
951803 406657 525
320242 809358 470
324820 794974 470
610365 326072 470
61035 139137 354
950901 676771 525
838366 797707 525
199873 576476 470
904608 266857 525
196113 615434 470
759907 548699 447
16476 640648 470
424371 531296 470
908609 201251 525
409504 317248 441
670671 320881 470
844564 698805 525
706656 104012 470
257859 233783 381
235232 589034 470
564927 972451 525
264235 442842 449
600619 937799 525
406740 945949 525
681416 917132 525
922883 980383 476
379435 832321 470
175990 613905 470
586063 790912 468
996264 513188 525
131847 841727 525
773134 419235 470
369548 944565 525
282814 888813 525
57460 790886 470
832363 150030 470
104964 985997 525
498123 132858 449
148956 777830 470
759065 823205 468
882256 874901 432
828086 919490 525
624984 963766 525
944171 991509 458
217885 396354 443
476105 498807 426
917299 256282 525
402674 24486 443
963494 604659 525
788144 229510 470
716013 21599 470
681794 206200 470
424700 131828 449
647992 375958 470
613621 935451 525
671092 613576 447
496638 777207 470
479376 24774 449
259629 383343 441
508766 63658 449
533024 288090 470
776010 510000 470
133610 854022 525
1564 973710 525
396968 70437 443
161242 784682 470
561073 84053 470
78922 947133 525
393515 866827 525
660693 460226 470
984507 621467 525
762696 248090 470
543828 287846 470
813299 38463 470
621745 417824 470
771444 548963 468
810205 375100 470
298766 847908 525
308015 962103 525
772722 805998 468
270164 347902 441
27680 578478 470
891397 248573 525
403431 3247 443
579031 990533 525
514952 279122 470
40881 107865 354
170041 816942 470
347095 889750 525
10181 513986 470
921125 602556 525
203536 702611 470
249688 24093 443
398201 235303 441
353031 183776 443
351192 177052 443
239407 397362 441
593638 308901 470
15787 856971 525
779068 809250 468
51074 701400 470
463220 343580 449
308699 175882 443
980652 524250 525
246027 752955 470
776553 14242 470
292495 553336 470
163543 596047 470
480789 827375 470
903983 807307 525
886965 40438 525
791089 786090 406
428733 59829 449
105425 31588 351
174953 735218 470
353518 559084 470
479154 129656 449
823933 895921 525
696125 260130 470
691332 698992 442
462964 60233 449
966275 458164 525
184690 933640 525
869165 989868 476
495448 398120 449
165843 976743 525
874621 17133 525
158882 909742 525
924994 24572 525
100355 895485 525
768066 441575 470
398048 75936 443
206760 277911 443
98695 769319 470
25820 736277 470
855910 94534 525
374806 113973 443
380278 841035 525
310995 808095 470
216629 443644 449
488036 444283 444
613771 366860 470
715555 335096 470
474830 30010 449
458049 318009 449
256225 541447 470
109499 902686 525
961847 437266 525
521067 569194 452
992694 701905 525
245435 577750 470
755830 924206 525
357172 646001 470
617576 201211 470
549620 254834 470
934419 953556 445
768382 771804 402
706810 716816 411
365100 382476 423
195354 487459 449
295295 480930 449
548495 265299 470
810391 146762 470
698966 769621 468
866750 900838 432
309101 847364 525
698398 450330 470
260567 989245 525
746515 261491 470
523132 444249 470
470747 265972 449
937133 343304 525
31978 599167 470
143108 338183 443
772122 388445 470
788841 293885 470
608704 685290 447
71474 294776 443
337562 679456 470
929826 929279 308
386020 76862 443
779410 903699 525
327625 626708 470
292654 189959 443
662007 667566 398
654294 413433 470
617483 456027 470
562788 699180 447
670700 899352 525
844109 897027 432
316852 886302 525
74400 2908 340
801480 990277 525
520044 765511 452
164552 22227 383
809919 901730 525
271970 491494 449
636936 824018 468
684801 110009 470
802654 580192 468
10787 486934 449
442202 366765 449
576905 25752 470
559326 558420 284
538823 438684 470
585529 910554 525
147195 772804 470
719459 92884 470
143706 636071 470
433506 876310 525
969190 442457 525
733072 956179 525
931772 445906 525
871539 661846 525
676361 387965 470
479564 223260 449
418397 856223 525
240939 602251 470
321368 17570 443
889151 174419 525
628736 810366 468
598700 20256 470
515125 254595 470
663829 87609 470
334908 960517 525
616313 710776 442
168567 329699 443
776505 166054 470
577653 945014 525
998583 547507 525
664102 199827 470
905755 721998 525
244455 674750 470
686127 522343 452
692732 859115 525
799210 953471 525
816411 361137 470
720586 430568 470
462501 841806 525
506394 123935 449
506416 837137 470
190099 721858 470
755263 247336 470
27615 37359 324
660435 29382 470
58169 766331 470
982362 999344 427
94511 517580 470
621638 539877 452
908553 912084 476
222265 714728 470
225476 484714 449
483868 916395 525
448759 673094 470
990607 712410 525
916375 126361 525
150650 637953 470
535190 497223 470
634498 81306 470
370790 52098 443
469208 972727 525
226715 902532 525
515499 430472 470
792238 247977 470
30846 914570 525
508189 74662 449
191572 674125 470
462960 356074 449
145991 463840 449
708567 52687 470
709944 738202 424
909104 657469 525
326688 881159 525
699876 24028 470
680773 478702 470
574193 450355 470
867913 243452 525
44354 699362 470
855453 950095 476
614202 555064 434
801554 432480 470
899599 278770 525
931088 520077 525
588371 432593 470
19743 635586 470
910799 870039 476
293858 234372 416
891656 728157 525
956261 821849 525
150115 750868 470
844491 801688 525
451044 731222 470
550890 168265 470
869138 435880 525
552306 594296 434
304695 820559 470
893640 435227 525
515843 448907 470
810545 78557 470
828176 437108 470
114089 214214 383
721537 842480 525
26900 436105 449
245955 251023 350
363340 760299 470
764981 378051 470
429017 887627 525
320868 974143 525
951678 941586 414
332591 470954 449
363184 179063 443
889226 866944 432
859106 228975 525
769309 651142 468
630523 82480 470
548492 542375 452
229609 822817 470
638866 850352 525
124303 247840 443
394310 617061 470
740634 227887 470
329152 150718 443
934065 291836 525
963477 944513 423
703498 173515 470
22077 467389 449
626842 840770 525
212758 168992 373
667045 442384 470
354690 501686 449
509747 552507 470
608619 265534 470
478819 188038 449
863526 267115 525
695257 72379 470
369717 784692 470
703058 406938 470
500071 527448 470
683993 951006 525
971034 856178 476
203923 77928 383
844385 5300 525
152948 462027 449
369984 415811 449
290260 685619 470
956052 272815 525
820636 756850 468
565328 374029 470
167130 103465 383
296545 196787 443
411893 625231 470
286835 975760 525
408378 9953 443
723085 802662 468
728084 682086 442
527448 630756 452
796634 970206 525
903549 620900 525
204355 790150 470
809067 714301 468
57013 827083 470
132536 274438 443
136954 139081 331
77279 479400 449
808980 966014 525
27048 360543 443
756647 148944 470
964901 465613 525
993748 843703 476
490456 718971 470
885479 650888 525
520434 650348 452
442918 888735 525
59894 201824 383
445002 218985 449
621756 495970 470
313482 989451 525
189906 129230 383
33490 439411 449
160189 773347 470
439187 12665 449
816221 759808 468
687923 645361 429
771438 496511 470
964965 800015 525
842667 353451 525
800468 806967 406
760781 556127 447
690106 238625 470
781297 127996 470
177037 518054 470
827095 614214 468
302296 745193 470
263430 872476 525
126759 71397 354
707534 33426 470
26779 581134 470
104165 53932 351
204254 605990 470
781427 670650 468
934321 15072 525
886569 641035 525
756897 575657 447
919820 540303 525
998937 813911 525
348624 997965 525
281936 257777 416
808799 275773 470
417187 515033 470
288505 651139 470
836925 371986 470
345653 509384 449
249458 619954 470
561957 681655 447
875819 662181 525
59159 15569 340
892924 553499 525
686648 590062 447
19282 647183 470
57748 716689 470
818824 489141 470
451512 2662 449
647064 410944 470
877049 31834 525
575598 100493 470
248013 509271 449
939800 590639 525
587094 693595 447
821466 738840 468
552127 213492 470
823519 798816 450
739199 627290 442
668105 228277 470
303931 134952 443
318569 506592 449
386504 951929 525
152842 805807 470
818190 819227 450
230824 290501 416
402184 505203 449
647294 1146 470
307431 707245 470
807357 137328 470
154838 135645 375
731161 443059 470
330585 513335 470
18236 906060 525
328143 338663 366
78814 814627 470
11798 811854 470
995436 995342 259
205261 226267 386
870629 613690 525
424948 734017 470
547844 474292 470
105520 955098 525
288344 349589 441
710316 127320 470
954671 249480 525
350041 493859 449
966576 489849 525
895317 149 525
740232 410972 470
289130 514510 470
112573 112279 305
208493 326132 443
673758 228173 470
423303 553098 470
347483 672456 470
1296 285676 443
956273 869891 476
922071 832741 525
929214 49361 525
561534 147629 470
791730 237932 470
878082 500162 525
183398 298014 443
805465 366049 470
195207 861637 525
683636 486433 470
963946 787271 525
604644 688109 447
755140 959891 525
869976 911708 476
563953 308175 470
532996 170095 470
652530 380835 470
405918 789030 470
233652 210466 443
403586 151551 443
165323 700880 470
332598 939852 525
442686 675796 470
516359 780015 468
355899 9403 443
808594 434549 470
512811 964006 525
42079 560781 470
731040 823762 468
224743 640676 470
851755 546434 525
413622 469214 444
664395 196619 470
936427 673010 525
129920 558908 470
98909 87266 333
105789 898599 525
654168 864854 525
694779 438416 470
233989 515284 470
509418 294578 449
341735 974302 525
147778 858472 525
489538 855657 525
963128 19839 525
21718 458933 449
300373 921033 525
403341 453440 449
553261 303586 470
884317 247396 525
274643 87025 443
950123 331148 525
63462 148877 375
338228 12834 443
376583 350838 419
742244 317527 470
830237 835096 419
255600 62133 443
383746 833201 470
827988 764880 468
358541 535945 470
914788 262874 525
937212 466272 525
309201 450390 449
830206 545127 468
363579 89061 443
901659 431332 525
609517 570556 434
805313 95992 470
510266 56183 449
663724 204925 470
614193 360646 470
436656 363913 449
701631 862213 525
443814 327760 449
550946 918698 525
786865 96998 470
880838 657304 525
579564 945377 525
10686 396048 443
437938 359004 449
322336 543943 470
941193 208024 525
264253 481618 449
484843 751998 470
95035 636158 470
97843 67392 351
2257 63996 340
75745 523677 470
776351 746425 468
781450 678787 468
438248 945228 525
786207 800654 468
91309 363209 443
105367 765487 470
611559 418930 470
205436 87784 383
709024 488269 470
680591 717363 442
373230 968785 525
715033 139970 470
792973 707962 468
265744 35042 443
588568 591100 359
237986 66233 443
424356 833172 470
769120 916462 525
982201 422649 525
703754 196967 470
725294 635762 442
431667 392109 449
99104 16577 351
845777 376493 525
250958 537277 470
738019 520728 452
378132 677373 470
346943 137193 443
950402 785136 525
960119 922502 476
543193 603082 452
376551 753216 470
892258 673881 525
433822 449653 400
187370 58166 383
955495 278293 525
934301 978838 458
660531 799617 468
304318 806272 470
117796 886031 525
944960 591385 525
711992 816362 468
574404 274203 470
485456 348119 449
910384 910884 295
780637 255570 470
173800 534379 470
777574 528407 468
484076 947661 525
424951 329596 449
637902 613253 447
679146 58171 470
932046 384443 525
763531 115854 470
803860 499571 470
490 98291 351
476808 598438 470
95810 575503 470
937745 387502 525
22081 210159 383
404265 535642 470
177204 166057 347
511898 832353 470
928529 842017 476
985560 177524 525
150688 112167 375
809529 326380 470
775046 417470 470
126677 480099 449
291887 980664 525
80438 391518 443
498071 274940 449
56636 306535 443
362230 148010 443
197008 431546 449
844870 48341 525
667267 853397 525
808050 871471 525
969922 935346 445
290076 744835 470
538872 340817 470
890123 125979 525
949824 25966 525
946032 443265 525
749829 326035 470
527059 484067 470
624953 942854 525
588575 540624 452
379374 520354 470
313030 530270 470
764500 508803 470
820114 264686 470
725584 175067 470
438090 703368 470
902197 992610 476
631421 265120 470
800673 337706 470
41198 208250 383
817591 871632 525
929051 682153 525
11764 381966 443
206060 138483 383
427888 327854 449
639605 505360 470
870323 315353 525
918952 69905 525
330930 294926 384
163738 894686 525
629541 662510 429
955888 491608 525
269446 708211 470
318182 842781 525
485159 419265 444
893435 846505 432
376048 654869 470
471037 853593 525
269685 960154 525
752620 273995 470
667184 205978 470
98446 495010 449
924960 500753 525
653455 447206 470
932221 386782 525
486354 11080 449
185302 132307 383
127128 693507 470
658121 345067 470
32971 758877 470
157790 957275 525
20136 853452 525
828801 793409 468
849352 797814 525
271195 749945 470
435913 722385 470
563340 844687 525
165661 33514 383
211847 811470 470
669679 478913 470
680969 149687 470
613549 749456 447
985463 736525 525
335862 846188 525
370579 565517 470
997538 556997 525
930330 173628 525
646312 382280 470
773118 368664 470
620144 178083 470
763771 639280 442
165942 956904 525
718424 15120 470
579543 671563 447
289917 446932 449
569340 296838 470
388011 158493 443
923232 377372 525
291035 196898 443
62271 567609 470
33591 235806 443
176669 329144 443
988335 244135 525
734191 24191 470
48826 405919 443
74794 737669 470
891946 862403 432
602023 69876 470
204073 788001 470
63920 746922 470
288853 822502 470
433066 832473 470
495798 458005 444
65758 436237 449
990296 948692 458
897254 691470 525
630538 648865 425
467312 157019 449
438193 845601 525
979058 730007 525
737225 132185 470
728042 729408 362
313338 895478 525
545104 206041 470
715155 455238 470
788700 360362 470
34661 151433 375
959021 29278 525
189310 515362 470
430045 795914 470
729153 772584 468
842590 270925 525
19231 678298 470
320400 417810 449
404852 528239 470
940899 781298 525
371968 993162 525
95972 677943 470
102400 940044 525
996006 866427 476
243496 547972 470
977422 930416 458
525760 788481 468
961082 106233 525
982296 24457 525
476110 461940 413
667433 336226 470
82525 134427 354
520586 867021 525
864241 147264 525
678027 80402 470
282616 618294 470
267250 196918 443
54731 536590 470
922064 892746 476
562907 20799 470
78910 849502 525
142010 381983 443
566841 854994 525
779076 869198 525
964696 304204 525
715496 230066 470
373990 838277 525
393751 539292 470
411168 545214 470
526023 267273 470
929228 751377 525
45924 299077 443
639732 402210 470
423700 340394 449
532158 99124 470
567461 705095 447
715817 955608 525
333718 782940 470
171494 109312 383
728447 106241 470
943632 97905 525
172573 511653 449
413130 464023 444
902910 181172 525
486580 203058 449
56773 485202 449
477257 368366 449
452059 70277 449
782360 64337 470
129394 188399 383
467613 946510 525
402039 976504 525
989052 509622 525
119380 941642 525
57177 164046 383
912927 63478 525
860054 999163 476
330210 653556 470
520810 943450 525
606407 432071 470
496027 441836 444
119840 926911 525
755352 893295 525
805585 347032 470
999221 409288 525
142875 173056 383
988035 790043 525
749125 255414 470
795147 854077 525
959400 125390 525
458023 432321 400
43928 37585 306
902718 246191 525
334315 330753 353
472154 404563 449
401255 352505 436
713128 826993 468
799180 539635 468
679627 873814 525
21114 706340 470
624989 450953 470
416128 351426 449
975043 299553 525
339267 541349 470
911979 357104 525
990920 903307 476
128101 871837 525
590238 950710 525
224859 109967 386
421099 433456 418
571438 427269 470
976337 383151 525
377903 188739 443
56700 712211 470
849975 752359 525
122315 126155 331
387172 185690 443
239128 885528 525
839344 492386 525
218342 48490 386
501999 253523 449
16486 110182 354
466277 490598 422
581606 623817 447
514817 199842 470
635926 59686 470
284346 843446 525
985785 6859 525
209605 242856 443
240229 534338 470
456048 167528 449
880182 532211 525
754846 993470 525
432341 388007 449
891936 350627 525
586080 166119 470
615724 997163 525
963319 352963 525
995068 166815 525
579106 483374 470
849221 362985 525
454754 485958 444
74450 155816 375
213587 410290 449
856125 855268 388
573242 502117 470
342730 564443 470
456305 878015 525
597472 922042 525
992620 404242 525
953957 928039 445
980391 936769 458
411509 775035 470
744302 769029 468
444734 681421 470
332104 999177 525
916474 984937 476
984577 825205 525
734794 801120 468
53011 664969 470
348844 561401 470
917232 731807 525
937305 797445 525
701743 597970 447
477374 406608 449
156304 616126 470
619988 237620 470
163758 761181 470
990046 500039 525
197120 647248 470
511487 130164 449
216459 71871 386
908341 851303 432
229992 466583 449
119926 515746 470
460909 940658 525
108517 114861 323
359227 521749 470
466929 558122 470
428196 560978 470
121482 872518 525
915702 665934 525
956225 14412 525
322729 137309 443
683516 383764 470
235808 947977 525
482578 515608 470
744863 504434 470
429001 992294 525
291594 849679 525
242217 512946 470
612374 656402 447
760380 388995 470
424783 651434 470
717669 279310 470
818436 462562 470
526747 60896 470
371026 152807 443
917504 775284 525
969484 626150 525
770146 667684 468
80452 685844 470
404685 718717 470
407481 234055 441
908682 506667 525
277660 86018 443
703225 827923 468
193792 311054 443
729222 889536 525
18015 348867 443
724107 864436 525
907139 717478 525
859266 433504 525
986648 831084 525
904869 270320 525
672843 917021 525
930852 189181 525
954014 564308 525
86466 101286 341
35659 837282 470
649229 917561 525
82258 267795 443
718264 860042 525
749089 120648 470
29207 423910 449
634271 544131 452
811190 892834 525
4758 143682 375
888981 300556 525
395387 981250 525
303620 231171 416
909594 570596 525
647639 236771 470
86242 185581 383
193479 553368 470
12299 344616 443
890597 991380 476
745824 140262 470
279803 181019 443
762476 818918 468
219201 545147 470
299845 373007 441
435833 715802 470
904368 343002 525
767144 380583 470
878191 851916 432
161905 543730 470
359726 345057 441
23951 887320 525
152006 832453 470
628206 753303 442
70699 557307 470
411175 539520 470
460153 10400 449
946775 540234 525
343446 395466 441
330842 54338 443
==29901== 
==29901== HEAP SUMMARY:
==29901==     in use at exit: 122,880 bytes in 6 blocks
==29901==   total heap usage: 6 allocs, 0 frees, 122,880 bytes allocated
==29901== 
==29901== LEAK SUMMARY:
==29901==    definitely lost: 0 bytes in 0 blocks
==29901==    indirectly lost: 0 bytes in 0 blocks
==29901==      possibly lost: 0 bytes in 0 blocks
==29901==    still reachable: 122,880 bytes in 6 blocks
==29901==         suppressed: 0 bytes in 0 blocks
==29901== Rerun with --leak-check=full to see details of leaked memory
==29901== 
==29901== For counts of detected and suppressed errors, rerun with: -v
==29901== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 18 from 7)
