==23607== Memcheck, a memory error detector
==23607== Copyright (C) 2002-2009, and GNU GPL'd, by Julian Seward et al.
==23607== Using Valgrind-3.6.0.SVN-Debian and LibVEX; rerun with -h for copyright info
==23607== Command: RunCollatz.c++.app
==23607== 
78 231 128
26 160 122
39 388 144
11 131 122
70 446 144
83 424 144
10 350 144
97 98 119
96 459 144
65 146 122
92 70 116
17 305 128
21 265 128
11 405 144
77 451 144
81 2 116
19 379 144
94 369 144
38 90 116
41 44 110
35 396 144
12 37 112
46 459 144
91 357 144
10 162 122
47 330 144
99 329 144
26 412 144
94 315 131
9 297 128
96 421 144
82 451 144
15 302 128
7 211 125
10 23 21
96 170 122
88 418 144
48 376 144
33 276 128
87 178 125
29 463 144
77 35 116
46 190 125
67 358 144
41 158 122
60 415 144
44 263 128
74 389 144
99 457 144
39 62 113
13 289 128
74 148 122
70 172 125
19 84 116
71 490 144
100 293 128
74 281 128
87 499 144
33 385 144
37 475 144
6 388 144
40 162 122
85 415 144
88 18 116
74 287 128
44 344 144
97 438 144
25 188 125
24 307 128
13 414 144
12 89 116
82 113 119
5 452 144
20 306 128
96 14 116
57 179 125
22 80 116
88 268 128
91 177 125
18 123 119
16 217 125
38 224 125
40 307 128
8 317 131
2 77 116
29 245 128
48 448 144
89 128 119
84 405 144
61 131 122
19 456 144
64 102 119
24 159 122
13 421 144
86 35 116
52 433 144
18 465 144
38 468 144
36 316 131
87 183 125
49 285 128
16 177 125
11 197 125
77 357 144
81 127 119
13 71 113
13 128 119
32 368 144
65 415 144
79 486 144
62 91 116
100 158 122
28 253 128
28 400 144
42 489 144
14 318 131
53 424 144
53 76 116
93 14 116
91 376 144
40 322 131
78 377 144
88 294 128
79 5 116
48 490 144
93 271 128
63 242 128
92 368 144
80 236 128
28 117 119
90 421 144
22 63 113
12 452 144
45 239 128
74 224 125
45 105 119
80 174 125
53 426 144
15 482 144
80 77 36
61 44 113
12 447 144
56 128 119
6 385 144
73 91 116
49 311 128
44 377 144
93 44 116
49 115 119
56 157 122
21 323 131
37 256 128
81 96 111
33 425 144
69 84 116
99 228 125
33 239 128
51 222 125
11 433 144
24 59 113
60 253 128
4 281 128
24 481 144
61 206 125
13 308 128
41 51 110
40 170 122
14 397 144
52 342 144
96 467 144
55 23 113
69 150 122
91 181 125
68 145 122
30 184 125
9 464 144
83 326 131
100 279 128
30 241 128
49 321 131
38 76 116
93 68 116
97 303 128
20 84 116
56 151 122
79 339 144
86 16 116
96 427 144
28 345 144
93 32 116
39 366 144
21 34 112
89 350 144
27 430 144
29 316 131
37 473 144
99 157 122
68 434 144
5 316 131
79 405 144
8394 5592 262
7334 1494 262
5380 1527 238
694 247 145
7387 9372 260
2186 8822 262
596 2995 217
8900 951 262
8295 3718 262
3138 6130 238
3499 5416 238
7769 8286 252
5309 8110 262
3773 4761 215
3421 4110 238
7135 5684 262
3445 7119 262
5796 7499 262
9798 4688 262
6077 9379 262
2352 4020 238
1048 8891 262
7598 1579 262
3987 8197 262
8940 2061 262
3432 8430 262
9575 3343 262
5545 5977 236
2671 2199 209
4697 3642 238
4603 8556 262
757 7709 262
9753 1047 262
7165 6295 257
3776 8950 262
6483 8069 257
9252 8447 247
7343 961 262
7845 7266 239
4956 2339 238
1381 9047 262
8163 6291 257
7700 3062 262
9682 3852 262
2026 9301 262
7704 620 262
6992 1196 262
7312 9 262
619 1156 179
9479 4174 262
7094 7406 208
3371 8674 262
3610 2129 217
6835 8809 257
8493 9115 247
3893 3028 238
6533 7128 257
9560 1188 262
8359 3728 262
8982 6172 257
8049 5611 262
4253 52 238
1040 7632 262
307 7466 262
3902 3563 238
5204 9731 262
251 396 144
5722 7247 262
4087 4844 215
4439 2682 238
5322 3707 238
1041 1006 156
4688 6549 262
7274 662 262
1268 4275 238
9611 6014 262
184 8493 262
5341 4102 215
2974 2013 217
5684 9669 262
8231 1967 262
5129 1818 238
6533 8468 257
8834 8702 216
5694 1606 238
2720 3941 238
4832 6726 262
3172 3492 199
1755 8881 262
2190 9388 262
9936 8017 260
1780 1604 180
8052 5663 262
7676 8181 252
2752 3527 217
4886 2302 238
2089 7764 262
7609 9192 252
119 442 144
777 596 171
5748 6146 218
7489 1473 262
4130 640 238
8642 2698 262
1993 6336 262
3800 2043 238
7773 5167 262
4997 5699 236
6168 6422 262
5165 6469 262
5993 2609 238
9998 8234 260
4648 6590 262
4873 289 238
6532 5825 262
3713 982 238
6267 1700 262
703 1648 182
566 5836 238
5424 8467 262
7999 1127 262
1900 4374 238
2048 6017 238
867 80 171
5897 1221 238
4837 6508 262
6572 5985 262
4782 6219 262
1369 6082 238
5629 5512 236
897 4222 238
2752 2038 209
1946 8465 262
4798 8406 262
9022 9615 260
5008 3093 238
2720 601 209
9965 530 262
2780 6618 262
8096 8493 234
8474 4225 262
6184 7259 257
7919 9657 260
9548 4582 262
527 1955 182
1081 6002 238
2179 1797 175
6969 2506 262
1858 2124 175
2561 5832 238
2608 6749 262
4696 8371 262
6016 5258 236
3919 4947 215
8663 3248 262
8578 128 262
8095 4204 262
3177 7320 262
9300 7086 260
2731 1696 209
4383 6117 236
3600 1394 217
9820 138 262
6192 9412 260
6618 3513 262
7629 5433 262
190 7082 262
2107 5905 238
7716 7822 221
7048 6972 195
2644 9365 262
1211 8011 262
9597 3836 262
7005 247 262
9184 723 262
7374 5083 262
460 4989 238
3398 7580 262
1777 6769 262
5370 8602 262
4803 1117 238
2150 6046 238
9901 1050 262
6317 6819 244
2511 6266 262
8410 8977 247
2390 9598 262
7745 6052 262
2679 36 209
5000 3547 238
5351 3326 238
5148 29 238
5578 2558 238
9617 5350 262
1302 4413 238
7401 3742 262
4019 5771 236
3440 4539 238
9617 2240 262
8386 6477 257
2294 6945 262
233 7335 262
675 5278 238
8119 1950 262
8834 2825 262
4061 3977 189
1950 6273 262
662 5864 238
9182 3644 262
355 9842 262
7007 4611 262
5443 7654 262
5565 775 238
1326 9395 262
8814 5985 262
2286 6035 238
3980 4263 202
2459 5938 238
8749 651 262
530 9564 262
3873 6045 236
8385 2852 262
9911 3073 262
9809 5410 262
5643 4603 236
4416 8308 262
7088 5623 262
2731 6709 262
1158 7861 262
5428 9562 262
104 529 144
4150 7113 262
2885 9761 262
6130 1637 238
7753 6039 262
9236 9988 260
9640 2022 262
743 1313 182
8646 818 262
2866 8573 262
5990 5184 236
6462 8561 257
2237 3612 217
7284 5790 262
9617 9642 159
6776 9701 260
387 3284 217
5692 4115 236
8886 5842 262
6770 9524 260
5948 7223 262
8035 9369 260
8492 1848 262
3605 9124 262
289 9527 262
2555 735 209
1314 1470 172
5759 3020 238
5545 6488 262
9669 7143 260
7363 1305 262
9356 1768 262
9795 605 262
5958 7093 262
7315 8798 252
6609 132 262
4792 831 238
4049 8958 262
4256 3125 238
9212 1791 262
1563 390 182
9586 4474 262
2771 8089 262
8343 1690 262
2858 2781 173
7391 7075 208
7119 7158 195
8709 4758 262
8492 7121 252
1575 371 182
2510 2953 217
5841 3769 236
34 402 144
964 5561 238
553 3347 217
2211 4745 238
3607 945 217
9498 1620 262
4334 694 238
892 2494 209
9170 2112 262
9655 2086 262
7593 5477 262
3158 9844 262
321 7765 262
3827 3473 238
2461 2344 165
6390 5830 262
6110 5894 187
8927 4333 262
1946 3557 217
412 1236 182
9563 5517 262
8871 272 262
5654 9464 262
5424 4189 215
7367 4597 262
9698 19 262
9734 5371 262
8564 4613 262
7960 2058 262
2222 8884 262
1764 6094 238
118 6544 262
2847 1021 209
4710 94 238
9623 8463 260
5276 8372 262
5385 4478 210
4606 3217 238
1328 4643 238
6407 283 262
1115 4415 238
995 4288 238
185 5723 238
4643 6350 262
2211 8279 262
285 7390 262
1766 6863 262
8707 3450 262
3723 1340 238
7726 5456 262
6389 3190 262
3238 6750 262
4903 6871 262
5265 2141 238
4863 1467 238
9767 9179 260
9283 5028 262
4829 5008 210
3078 3321 199
2230 2530 209
4567 1886 238
9858 8500 260
6455 4879 262
3409 4793 238
9941 2871 262
2649 2998 217
775 9309 262
6064 8214 262
1751 5517 238
7382 7815 239
9048 5109 262
5233 737 238
2627 6790 262
9847 9559 198
4690 8602 262
5634 9542 262
8504 9109 247
2915 3978 238
9180 323 262
9174 6464 257
8896 4289 262
3309 1558 217
2098 1032 182
4491 5455 210
6366 6420 200
9232 6083 262
2782 4196 238
4940 8242 262
1055 2569 209
5666 7225 262
8065 6929 257
4170 4973 215
7690 333 262
1059 3621 217
5928 7774 262
3219 9860 262
1170 2239 183
3180 1971 217
4761 5276 210
4686 6094 236
1744 6064 238
9571 8885 260
4309 7996 262
8314 2066 262
9643 6707 260
7667 9738 260
6037 66 238
6084 8940 262
1985 1357 180
5238 1447 238
1327 9957 262
2463 1529 209
957 2101 182
9036 6929 257
8097 6476 257
8923 8598 216
609 1253 182
4787 8368 262
7394 3937 262
9440 8052 260
6043 6439 262
2063 4958 238
4229 9793 262
5170 7223 262
3057 4440 238
1264 5077 238
7558 4362 262
8220 1842 262
5974 1063 238
2960 7588 262
5324 8796 262
6247 3499 262
4053 8598 262
68 6042 238
120 680 145
8018 3821 262
9346 4904 262
8616 2809 262
546 5235 238
4504 5329 210
3326 8161 262
5669 5524 236
8689 7411 252
6111 3699 238
5265 985 238
1165 4288 238
8993 512 262
6549 7523 257
6176 200 262
8986 7718 252
8523 6932 257
1027 2496 209
7766 5675 262
4 703 171
4786 2203 238
44 4238 238
6284 9789 260
2778 982 209
8866 6899 257
9468 7553 260
1203 5582 238
7525 5785 262
4721 9309 262
9082 7471 252
9253 3567 262
746 5384 238
6496 8521 257
2456 834 183
6698 7108 257
6934 8516 257
969 2861 209
3087 2611 217
6494 7264 257
2929 2113 217
8639 6575 257
9014 2687 262
8317 8219 203
2158 836 182
5891 9750 262
6282 4198 262
1258 5839 238
6791 2980 262
1338 9452 262
1972 6534 262
9249 918 262
5442 7644 262
6249 7278 257
5448 5268 192
6506 5710 262
8400 1191 262
7836 2650 262
8754 2243 262
918 1316 182
5530 3827 215
8392 1791 262
8376 9289 260
257 7788 262
9541 4510 262
3006 5808 238
1661 8065 262
5520 7751 262
4413 9483 262
7033 3409 262
777 6116 238
9666 3434 262
3178 9102 262
2108 9608 262
1651 2606 209
8481 1773 262
2207 9803 262
7398 9452 260
1417 7119 262
1296 2937 217
8728 3482 262
2527 4329 238
6164 3798 236
4091 1689 238
3513 3526 150
8954 42 262
5767 311 238
9980 3273 262
2195 2680 209
3203 5373 238
4350 1142 238
1586 6250 262
2016 9200 262
4064 5250 215
2577 5962 238
1785 1051 182
7156 2796 262
4114 7740 262
7376 8122 252
2391 6225 262
5004 6767 262
9602 7101 260
7510 4386 262
4218 975 238
9952 1659 262
2086 9294 262
9927 2751 262
3868 9758 262
7073 7382 195
7899 196 262
6035 958 238
2209 4982 238
8525 3129 262
1978 4619 238
7939 3217 262
4806 4578 197
7720 5307 262
3093 2687 217
857 4665 238
8241 7728 252
9411 7722 260
248 430 144
4018 3004 238
7221 1278 262
2711 2002 209
4602 375 238
3428 7904 262
8988 1758 262
2920 1891 217
9899 1436 262
7410 638 262
4957 9714 262
3171 2798 217
6694 9235 257
6405 1071 262
8405 799 262
3122 456 217
2110 9601 262
3698 7410 262
2063 8222 262
1428 7046 262
3090 5565 238
424 1587 182
7118 806 262
8007 7983 190
6314 1955 262
7360 197 262
4895 1411 238
5568 9325 262
2825 877 209
2941 3561 199
2586 7378 262
6367 9195 257
5611 3499 238
6092 8068 262
48 4274 238
8174 119 262
7174 2556 262
8674 2252 262
2395 2643 209
6016 6049 187
5930 6914 262
9954 1611 262
9410 7626 260
2212 3354 217
5811 994 238
7942 1370 262
884 2875 209
7952 2438 262
5651 4449 236
7843 6583 257
5354 9725 262
1224 8298 262
9130 2391 262
7543 2959 262
4103 3881 189
2902 4893 238
5920 2975 238
5468 8724 262
5369 4667 210
3217 6954 262
3191 837 217
6996 4887 262
4055 9727 262
9496 588 262
7611 5750 262
1612 7886 262
3010 3300 199
6278 8033 257
9683 419 262
4859 9663 262
2006 7292 262
9517 8920 260
6751 8157 257
5170 6499 262
9815 5305 262
6189 6786 244
3545 2938 199
2219 7507 262
2566 5121 238
5883 5331 236
2774 6446 262
7083 8558 252
1340 8363 262
2508 8225 262
6356 2978 262
9329 305 262
3803 9824 262
4153 6436 262
8539 4913 262
9495 716 262
402 5706 238
9290 8356 260
5230 6533 262
4062 9299 262
7031 3943 262
9758 7726 260
185 6142 238
883 6058 238
4012 7910 262
1822 5583 238
1762 4315 238
1854 4856 238
6764 1336 262
7087 5702 262
6633 2270 262
4159 8548 262
8220 4880 262
1022 8758 262
1625 4939 238
7650 6059 262
5613 4979 236
9875 2129 262
4999 9241 262
9001 8807 247
6342 4760 262
8321 3021 262
1200 1759 180
4038 3432 238
9003 7513 252
4610 2179 238
1772 1144 182
880 7247 262
5675 8368 262
3116 6314 262
5535 479 238
6154 1117 238
2811 8826 262
6208 2352 262
5028 1123 238
129 9880 262
5662 1479 238
7191 3185 262
5730 323 238
2892 774 209
5886 1735 238
4245 2701 238
4889 1427 238
492 1008 179
3105 9854 262
6360 3302 262
6451 9605 260
4107 8896 262
2518 4592 238
2552 6479 262
1077 6320 262
4207 9794 262
535 1029 179
6630 413 262
4429 7452 262
6261 3510 262
9591 4774 262
1214 5449 238
9315 1299 262
6904 1484 262
451 3485 217
8599 2748 262
490 4498 238
4105 6614 262
6914 1689 262
5887 5682 218
61 6997 262
4470 1961 238
4983 679 238
145 5127 238
4004 1517 238
1861 1771 162
2043 7913 262
5136 4012 215
8446 1149 262
2759 4582 238
8613 6834 257
5787 8434 262
614 4984 238
743 5987 238
8820 6088 262
1481 5341 238
9089 597 262
2122 9936 262
7776 8528 252
5404 6658 262
7596 6139 262
7855 1834 262
190 373 144
816 72 171
8111 8644 234
3102 6323 262
3147 7137 262
634 9787 262
1294 2349 183
8890 380 262
9886 5314 262
5562 164 238
2452 6852 262
7217 987 262
3224 5990 238
9003 2961 262
936 3657 217
8808 2294 262
9924 9214 260
7376 1955 262
1689 3133 217
7105 4166 262
7529 2894 262
8759 3626 262
5203 3461 238
7302 9109 252
5765 5883 218
3735 2555 238
394 7735 262
