==17639== Memcheck, a memory error detector
==17639== Copyright (C) 2002-2009, and GNU GPL'd, by Julian Seward et al.
==17639== Using Valgrind-3.6.0.SVN-Debian and LibVEX; rerun with -h for copyright info
==17639== Command: RunCollatz.c++.app
==17639== 
1509 5144 238
1255 4064 238
9167 7425 252
5990 426 238
6358 8185 257
1077 9122 262
9832 7588 260
8622 4947 262
9901 1545 262
6670 2142 262
797 7682 262
1158 1559 182
4706 6867 262
8779 1277 262
5416 2757 238
7774 4244 262
3872 9214 262
9814 1793 262
8500 7535 252
6105 4833 236
8661 9946 260
2938 2726 217
6240 3117 262
2140 7247 262
7711 6495 257
340 8723 262
6747 8454 257
4684 3098 238
3823 3651 238
2836 3080 217
4136 6459 262
6707 5239 262
6297 1154 262
5276 400 238
5372 8822 262
8588 6837 257
8354 1829 262
959 1614 182
4363 7165 262
3010 9054 262
544 1342 182
5683 145 238
3341 2557 217
8084 164 262
6109 4840 236
319 3953 238
9374 6081 262
1172 534 182
4852 5017 210
493 561 137
793 538 171
3906 3978 189
6770 3024 262
3288 8653 262
3629 885 217
1925 7842 262
4326 7065 262
4031 9499 262
6552 4395 262
2946 953 217
1568 5862 238
4016 635 238
6942 2986 262
6578 2133 262
4869 1429 238
6637 4153 262
4690 8686 262
128 3764 238
6025 7742 262
6602 1527 262
6106 8700 262
2760 7777 262
2899 6468 262
5772 4805 236
9183 9203 185
809 349 171
2700 465 209
2555 3803 238
6698 8123 257
9523 6408 260
9743 5515 262
1424 9019 262
3112 9015 262
1545 9303 262
3674 7108 262
8135 9777 260
6855 180 262
5792 4221 236
9291 9987 242
9742 5284 262
2214 2649 209
6350 7636 257
7588 13 262
452 4180 238
4760 6519 262
3227 3794 238
2952 1392 217
8650 380 262
4705 7113 262
8098 7319 252
762 9492 262
8261 9279 260
8039 9026 247
7297 6971 195
8660 746 262
2953 7756 262
8193 467 262
6740 3042 262
4717 382 238
8542 2539 262
2267 9907 262
9453 137 262
2658 6951 262
2751 319 209
8240 6487 257
4847 5784 236
4142 2195 238
8822 4787 262
3214 2026 217
878 7679 262
6240 7293 257
7201 6623 257
3909 2387 238
9392 5499 262
7435 1929 262
5807 1379 238
6183 9171 257
6590 3823 262
5073 2644 238
8323 2968 262
8585 6582 257
4131 8397 262
6775 8742 257
1071 51 179
9152 5919 262
7067 3293 262
3461 5713 238
3306 4115 238
3221 8686 262
341 3010 217
4482 1521 238
4282 5088 215
8417 2091 262
2449 8218 262
4875 5147 210
8186 9660 260
4689 9721 262
1298 2460 183
7724 7520 177
4901 5171 210
7842 598 262
6413 1801 262
2709 1993 209
3992 1404 238
2005 7511 262
2776 6125 238
4070 5882 236
1715 3671 217
6156 6446 262
8635 8940 216
4498 304 238
2888 1534 209
2219 7862 262
7713 5351 262
4575 4277 215
6730 9510 260
9543 7506 260
8952 4935 262
5540 7545 262
6287 5261 262
426 227 144
