==8298== Memcheck, a memory error detector
==8298== Copyright (C) 2002-2009, and GNU GPL'd, by Julian Seward et al.
==8298== Using Valgrind-3.6.0.SVN-Debian and LibVEX; rerun with -h for copyright info
==8298== Command: ./RunCollatz.c++.app
==8298== 
1 1001 179
1001 2000 182
2001 2999 217
3001 3998 238
4001 4997 215
5001 5996 236
6001 6995 262
7001 7994 252
8001 8993 247
9001 9992 260
10001 10991 268
11001 11990 250
12001 12989 263
13001 13988 276
14001 14987 271
15001 15986 271
16001 16985 266
17001 17984 279
18001 18983 261
19001 19982 274
20001 20981 256
21001 21980 269
22001 22979 269
23001 23978 282
24001 24977 264
25001 25976 264
26001 26975 308
27001 27974 259
28001 28973 259
29001 29972 272
30001 30971 272
31001 31970 285
32001 32969 267
33001 33968 267
34001 34967 311
35001 35966 324
36001 36965 249
37001 37964 306
38001 38963 244
39001 39962 306
40001 40961 288
41001 41960 257
42001 42959 288
43001 43958 270
44001 44957 270
45001 45956 314
46001 46955 283
47001 47954 314
48001 48953 296
49001 49952 296
50001 50951 278
51001 51950 309
52001 52949 340
53001 53948 322
54001 54947 260
55001 55946 260
56001 56945 322
57001 57944 304
58001 58943 273
59001 59942 304
60001 60941 317
61001 61940 286
62001 62939 286
63001 63938 330
64001 64937 299
65001 65936 268
66001 66935 268
67001 67934 312
68001 68933 312
69001 69932 299
70001 70931 312
71001 71930 325
72001 72929 263
73001 73928 294
74001 74927 325
75001 75926 307
76001 76925 307
77001 77924 351
78001 78923 338
79001 79922 307
80001 80921 320
81001 81920 320
82001 82919 320
83001 83918 289
84001 84917 320
85001 85916 302
86001 86915 302
87001 87914 333
88001 88913 333
89001 89912 315
90001 90911 315
91001 91910 333
92001 92909 302
93001 93908 284
94001 94907 315
95001 95906 328
96001 96905 297
97001 97904 297
98001 98903 266
99001 99902 328
100001 100901 341
101001 101900 310
102001 102899 310
103001 103898 248
104001 104897 310
105001 105896 341
106001 106895 354
107001 107894 292
108001 108893 279
109001 109892 310
110001 110891 292
111001 111890 323
112001 112889 323
113001 113888 292
114001 114887 305
115001 115886 349
116001 116885 305
117001 117884 305
118001 118883 336
119001 119882 305
120001 120881 318
121001 121880 318
122001 122879 318
123001 123878 331
124001 124877 287
125001 125876 318
126001 126875 331
127001 127874 287
128001 128873 331
129001 129872 300
130001 130871 331
131001 131870 300
132001 132869 331
133001 133868 313
134001 134867 300
135001 135866 344
136001 136865 313
137001 137864 331
138001 138863 313
139001 139862 313
140001 140861 344
141001 141860 326
142001 142859 375
143001 143858 282
144001 144857 326
145001 145856 295
146001 146855 357
147001 147854 295
148001 148853 326
149001 149852 326
150001 150851 370
151001 151850 295
152001 152849 308
153001 153848 308
154001 154847 352
155001 155846 308
156001 156845 383
157001 157844 339
158001 158843 321
159001 159842 352
160001 160841 370
161001 161840 277
162001 162839 339
163001 163838 321
164001 164837 334
165001 165836 321
166001 166835 352
167001 167834 321
168001 168833 321
169001 169832 334
170001 170831 290
171001 171830 334
172001 172829 303
173001 173828 347
174001 174827 334
175001 175826 272
176001 176825 334
177001 177824 334
178001 178823 347
179001 179822 303
180001 180821 365
181001 181820 272
182001 182819 316
183001 183818 254
184001 184817 316
185001 185816 329
186001 186815 347
187001 187814 329
188001 188813 316
189001 189812 316
190001 190811 329
191001 191810 329
192001 192809 347
193001 193808 329
194001 194807 329
195001 195806 360
196001 196805 298
197001 197804 267
198001 198803 329
199001 199802 329
200001 200801 342
201001 201800 267
202001 202799 342
203001 203798 311
204001 204797 311
205001 205796 355
206001 206795 342
207001 207794 311
208001 208793 311
209001 209792 311
210001 210791 342
211001 211790 355
212001 212789 355
213001 213788 298
214001 214787 293
215001 215786 280
216001 216785 386
217001 217784 324
218001 218783 324
219001 219782 337
220001 220781 324
221001 221780 355
222001 222779 293
223001 223778 324
224001 224777 324
225001 225776 368
226001 226775 368
227001 227774 306
228001 228773 355
229001 229772 293
230001 230771 443
231001 231770 350
232001 232769 337
233001 233768 368
234001 234767 381
235001 235766 306
236001 236765 337
237001 237764 350
238001 238763 306
239001 239762 350
240001 240761 368
241001 241760 275
242001 242759 319
243001 243758 319
244001 244757 257
245001 245756 319
246001 246755 288
247001 247754 350
248001 248753 288
249001 249752 350
250001 250751 332
251001 251750 319
252001 252749 319
253001 253748 332
254001 254747 288
255001 255746 288
256001 256745 332
257001 257744 345
258001 258743 301
259001 259742 270
260001 260741 319
261001 261740 332
262001 262739 301
263001 263738 407
264001 264737 332
265001 265736 270
266001 266735 314
267001 267734 345
268001 268733 270
269001 269732 345
270001 270731 416
271001 271730 283
272001 272729 283
273001 273728 314
274001 274727 332
275001 275726 345
276001 276725 314
277001 277724 389
278001 278723 345
279001 279722 314
280001 280721 345
281001 281720 358
282001 282719 314
283001 283718 358
284001 284717 283
285001 285716 376
286001 286715 283
287001 287714 327
288001 288713 398
289001 289712 345
290001 290711 283
291001 291710 327
292001 292709 340
293001 293708 358
294001 294707 296
295001 295706 358
296001 296705 327
297001 297704 327
298001 298703 265
299001 299702 327
300001 300701 371
301001 301700 296
302001 302699 296
303001 303698 327
304001 304697 340
305001 305696 265
306001 306695 309
307001 307694 278
308001 308693 371
309001 309692 340
310001 310691 371
311001 311690 309
312001 312689 384
313001 313688 340
314001 314687 278
315001 315686 340
316001 316685 353
317001 317684 309
318001 318683 309
319001 319682 322
320001 320681 353
321001 321680 353
322001 322679 309
323001 323678 322
324001 324677 384
325001 325676 340
326001 326675 247
327001 327674 322
328001 328673 260
329001 329672 353
330001 330671 322
331001 331670 291
332001 332669 353
333001 333668 322
334001 334667 322
335001 335666 322
336001 336665 366
337001 337664 366
338001 338663 335
339001 339662 291
340001 340661 304
341001 341660 304
342001 342659 353
343001 343658 335
344001 344657 291
345001 345656 304
346001 346655 348
347001 347654 322
348001 348653 335
349001 349652 304
350001 350651 304
351001 351650 379
352001 352649 335
353001 353648 304
354001 354647 348
355001 355646 379
356001 356645 348
357001 357644 304
358001 358643 379
359001 359642 317
360001 360641 419
361001 361640 348
362001 362639 361
363001 363638 286
364001 364637 286
365001 365636 361
366001 366635 317
367001 367634 286
368001 368633 317
369001 369632 361
370001 370631 392
371001 371630 348
372001 372629 317
373001 373628 348
374001 374627 330
375001 375626 361
376001 376625 423
377001 377624 286
378001 378623 330
379001 379622 361
380001 380621 379
381001 381620 286
382001 382619 361
383001 383618 330
384001 384617 330
385001 385616 348
386001 386615 330
387001 387614 286
388001 388613 330
389001 389612 436
390001 390611 299
391001 391610 330
392001 392609 299
393001 393608 361
394001 394607 255
395001 395606 312
396001 396605 330
397001 397604 330
398001 398603 374
399001 399602 299
400001 400601 374
401001 401600 387
402001 402599 268
403001 403598 299
404001 404597 330
405001 405596 414
406001 406595 361
407001 407594 268
408001 408593 312
409001 409592 312
410001 410591 449
411001 411590 330
412001 412589 312
413001 413588 268
414001 414587 374
415001 415586 312
416001 416585 387
417001 417584 343
418001 418583 343
419001 419582 281
420001 420581 343
421001 421580 325
422001 422579 356
423001 423578 312
424001 424577 281
425001 425576 356
426001 426575 281
427001 427574 356
428001 428573 294
429001 429572 281
430001 430571 312
431001 431570 325
432001 432569 325
433001 433568 268
434001 434567 338
435001 435566 250
436001 436565 325
437001 437564 387
438001 438563 294
439001 439562 325
440001 440561 294
441001 441560 263
442001 442559 294
443001 443558 325
444001 444557 281
445001 445556 338
446001 446555 294
447001 447554 263
448001 448553 369
449001 449552 369
450001 450551 369
451001 451550 307
452001 452549 276
