==22315== Memcheck, a memory error detector
==22315== Copyright (C) 2002-2009, and GNU GPL'd, by Julian Seward et al.
==22315== Using Valgrind-3.6.0.SVN-Debian and LibVEX; rerun with -h for copyright info
==22315== Command: RunCollatz.c++.app
==22315== 
24133 81812 350
4118 6862 265
81228 24141 353
12162 12178 160
6670 14172 283
12525 18525 287
81217 15187 355
11120 8111 276
15111 20286 288
22527 28276 315
82268 20558 358
7287 18628 288
12335 12510 274
26862 12680 317
12258 81116 360
16658 22812 294
12867 11057 282
11722 11180 251
21268 21826 267
80330 5522 361
12182 20225 295
82022 2866 363
17111 16722 284
6282 12332 290
18582 1272 298
26410 17128 298
22755 7417 298
7122 22868 298
26827 82282 367
1255 21258 298
11252 22852 298
7517 12012 290
28285 26665 284
12415 12818 281
25226 18250 295
27228 10201 325
8101 111 287
22181 27205 325
10212 8782 284
18202 12272 303
81858 81801 264
11181 18228 303
21128 8212 303
2525 1111 234
11418 8228 297
82127 26212 368
8112 66 290
16852 2265 298
21185 1111 303
5511 10212 290
11858 2158 297
2052 11120 297
12281 16332 300
81111 28681 370
11182 82628 370
24176 2871 305
25127 18720 302
24182 2017 305
16111 1628 300
15766 2411 300
2762 18781 305
18186 81112 374
22526 28665 338
5656 22525 305
12722 620 300
80101 12687 374
110 272 144
2110 22508 311
27252 27102 286
6106 21871 311
12122 11218 286
27228 5185 342
14126 812 311
8026 10180 293
11178 5256 302
12762 752 302
26522 8228 316
12800 7228 302
25862 80825 374
22016 18528 308
11202 82711 388
5111 17008 311
28628 8228 342
8522 15850 311
2720 21241 316
28202 27772 292
81112 12567 388
11280 12822 307
2201 11167 306
82208 12266 393
8082 262 296
4122 2102 279
18270 11127 328
4125 28772 355
6826 80855 398
1812 11118 306
12512 18772 333
22502 14118 333
20252 20872 299
28271 28117 273
28122 20808 355
1827 6261 304
8272 28582 355
5856 2086 281
2081 15027 328
16662 20051 333
5252 18108 333
26658 18682 355
25233 26726 355
21285 27418 355
2581 18182 333
24187 22828 311
15682 2878 328
18286 18718 303
12726 7872 307
6622 4102 304
82112 5581 398
81412 20625 398
28272 2241 355
