==15785== Memcheck, a memory error detector
==15785== Copyright (C) 2002-2009, and GNU GPL'd, by Julian Seward et al.
==15785== Using Valgrind-3.6.0.SVN-Debian and LibVEX; rerun with -h for copyright info
==15785== Command: RunCollatz.c++.app
==15785== 
12467 13261 276
26135 26596 277
88835 89615 315
6586 7239 257
3716 4184 189
21691 21878 238
20627 21188 256
29672 29687 122
42460 43300 257
64380 65096 268
25836 26000 233
370 865 171
56343 56614 291
54341 54720 260
75637 75893 294
62450 62645 255
2872 2921 217
959 1812 182
68025 68508 312
77093 77940 245
17200 17472 235
27240 28018 259
26273 27230 308
38919 39894 275
26803 26981 246
59423 60001 304
52829 52965 278
48618 49436 296
53274 53376 185
62053 62878 286
88091 88938 302
56511 56693 260
3771 4134 189
50301 51266 278
31966 32534 267
29210 29370 272
30610 31408 254
14172 14496 209
24312 24580 202
50754 51669 309
19932 19974 212
18681 18826 230
55535 56171 322
89470 90163 302
78342 79061 338
6973 7075 195
2731 3222 217
10808 10919 206
49265 49374 265
2804 3661 217
7814 8350 252
77357 77600 214
73889 73928 232
55642 55874 260
3306 4020 238
53291 53801 322
76569 77108 351
87631 87661 240
42054 42314 288
60962 61215 335
4560 5214 210
41187 41969 257
76473 77265 351
79907 80492 320
39166 39553 275
83113 83221 227
43717 44115 270
86563 86760 227
49679 50281 265
40263 40864 257
26012 26016 158
87768 88004 271
75166 75272 232
13780 14649 258
29510 29930 272
43882 44799 270
22315 23084 269
63257 63854 330
69545 70316 281
26227 26972 308
65493 66005 268
5520 5604 236
10655 10980 268
11871 12864 263
71024 71089 219
887 1202 182
56755 57095 291
21868 22014 269
27456 27546 215
48382 48529 252
23347 24179 282
62667 63261 317
20620 21262 256
62676 63458 330
72703 73341 294
2588 3230 217
21483 22108 269
73661 74073 294
84648 85131 289
2405 2744 209
15273 15786 253
42062 42632 288
18529 19185 261
79772 80727 320
27091 27348 259
63343 63897 330
55201 55398 260
15512 15775 253
57366 57532 260
34152 34927 311
73071 73654 294
74147 75059 325
2483 2612 178
67396 68083 312
3988 4895 215
72170 72938 263
2622 2964 217
6480 6793 244
54924 55150 216
66843 66998 237
954 1507 182
81516 81890 258
356 562 142
78357 78374 276
71486 71870 250
86952 86978 209
