==15865== Memcheck, a memory error detector
==15865== Copyright (C) 2002-2009, and GNU GPL'd, by Julian Seward et al.
==15865== Using Valgrind-3.6.0.SVN-Debian and LibVEX; rerun with -h for copyright info
==15865== Command: RunCollatz.c++.app
==15865== 
1 1024 179
289384 930887 525
692778 636916 442
747794 238336 470
885387 760493 525
516650 641422 452
202363 490028 449
368691 520060 470
897764 513927 525
180541 383427 443
89173 455737 449
5212 595369 470
702568 956430 525
465783 21531 449
722863 665124 442
174068 703136 470
513930 979803 525
634023 723059 442
133070 898168 525
961394 18457 525
175012 478043 449
176230 377374 443
484422 544920 470
413785 898538 525
575199 594325 434
798316 664371 468
566414 803527 468
776092 268981 470
759957 241874 470
806863 999171 525
906997 497282 525
702306 420926 470
477085 336328 449
660337 126506 470
750847 621730 442
661314 925858 525
616125 353896 470
819583 100546 470
898815 233368 525
515435 990365 525
344044 313751 384
171088 426809 449
117277 947179 525
695789 393585 470
705404 502652 470
392755 612400 470
999933 95061 525
549677 993369 525
947740 210013 525
636227 698587 442
348095 297540 441
140796 480571 449
651435 960379 525
97468 66602 351
710098 612903 447
573318 570493 372
926653 260757 525
997302 560281 525
724287 209442 470
953866 429690 525
228445 346620 443
558441 744730 447
958032 108118 525
738098 905772 525
834482 890676 525
120710 698928 470
704568 777857 468
179498 872354 525
254587 276966 416
455307 964684 525
406220 28625 443
51529 332872 443
805733 48830 470
409504 530020 470
258271 363369 441
959709 486716 525
226341 518150 470
747797 700724 424
142619 2246 375
122847 493452 449
892922 243556 525
192380 597489 470
537765 888229 525
469842 792351 470
165194 441501 449
757035 87765 470
470125 324915 449
936988 275857 525
373744 346492 419
322228 148366 443
709860 281937 470
151433 452552 449
316438 899229 525
153276 975408 525
901475 276122 525
468859 794396 470
36030 661238 470
908236 573794 525
65819 894429 525
366144 231012 441
335929 639530 470
318777 322405 371
964444 255764 525
114614 854539 525
118607 436841 449
2905 344819 443
235129 670689 470
797370 67918 470
569918 466997 470
43325 987744 525
259471 512184 470
298491 295500 327
689773 206726 470
385645 755591 470
617506 268140 470
502955 469787 426
907670 338083 525
308543 388465 441
110198 939508 525
759356 228805 470
376349 278612 441
573623 127829 470
949300 887344 476
195747 35569 383
354341 755423 470
23312 613811 470
267606 321802 416
425662 473731 444
44879 811306 470
229321 178737 386
79445 248627 443
648523 503466 470
586709 473417 470
408283 213259 443
412925 167638 449
442063 305625 449
962601 532037 525
433453 911900 525
419380 145551 449
947469 290072 525
900974 487132 525
903882 684931 525
808934 845895 525
158661 370164 443
657200 387982 470
548900 252997 470
152960 713774 470
272814 739669 470
187191 681096 470
952927 116467 525
365085 911341 525
422091 327685 449
443377 855543 525
755937 379108 470
517446 219757 470
669180 418419 470
706888 89413 470
103349 32173 351
451660 262010 449
402337 625211 470
166343 467588 449
878207 319302 525
697714 667373 442
575322 401256 470
864820 44600 525
517722 229905 470
955940 939812 414
73941 915668 525
311706 346229 441
811128 829151 450
565985 996659 525
763921 789225 468
602423 867270 525
821397 54082 470
