==69572== Memcheck, a memory error detector
==69572== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==69572== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==69572== Command: ./RunCollatz.c++.app
==69572== 
--69572-- ./RunCollatz.c++.app:
--69572-- dSYM directory is missing; consider using --dsymutil=yes
23360 31307 308
3813 6869 262
31993 23333 308
12169 12178 157
6670 13379 276
19545 13545 279
31217 15137 308
24940 8424 282
15242 20436 279
22547 23276 269
32463 20558 308
7437 18698 279
19605 12510 279
26362 19630 282
12453 32246 308
16658 29314 308
14867 11057 276
11799 22930 279
21963 21396 269
30600 5549 308
14189 20245 279
32024 4366 308
17499 16729 266
6239 12604 268
13584 1474 276
26830 17198 308
24755 7337 282
7144 29363 308
26347 32232 308
1455 20753 279
11254 29852 308
7517 12012 268
23285 26665 308
12885 19818 279
25226 13950 282
27993 10901 308
8101 922 262
29181 27905 259
10907 8782 260
13404 12974 276
31353 31301 254
22281 18223 274
21143 3907 279
9545 1292 262
11888 3498 268
32127 26214 308
8112 66 262
16359 2265 276
21135 4921 279
5511 10407 262
11358 2153 268
9059 22290 279
14431 16602 271
32241 28681 285
22234 32648 308
28876 4871 308
25197 18790 282
28332 9017 308
16292 1698 276
15766 4831 276
2762 18731 279
13136 32244 308
22526 23665 282
5656 22545 279
14729 620 276
30101 12687 308
110 479 144
4110 22508 279
27459 27102 259
6106 21871 279
14144 11918 276
27928 5135 308
18326 812 279
8096 10130 260
22273 5456 279
19769 754 279
26529 3443 282
12300 7428 268
25862 30895 308
29016 18523 308
11402 32711 308
5224 17003 276
28643 3943 308
3522 15850 276
9720 21933 279
23202 27772 308
32244 14567 308
11430 19342 279
2201 11167 268
32203 14466 308
3032 469 217
8344 4109 262
13470 11147 276
8345 23774 282
6896 30855 308
1807 22913 279
19514 18772 261
22502 18818 274
20452 20874 256
23271 28117 308
23079 20303 269
1327 6261 262
8479 23582 282
5856 9036 262
2081 15047 276
16662 20051 279
5454 18103 279
26653 18682 308
25960 26746 308
21985 27338 308
4581 13182 268
28837 24393 308
15682 4378 276
18936 18718 261
14746 7374 276
6629 8309 257
32119 5581 308
31339 20645 308
23272 2488 279
30509 22800 308
11476 7341 268
17769 30027 308
28301 4736 308
14382 4224 276
29096 32072 285
17610 2064 276
9741 13598 276
11138 380 268
10314 32033 308
6279 22405 279
2605 31166 308
20773 25234 282
2449 23598 282
16700 8275 276
10616 26431 282
31988 32420 267
24922 12632 282
2733 19892 279
22205 18359 274
2357 7526 262
21766 5886 279
1598 2551 209
30607 15598 308
6415 15330 276
14841 10098 276
5497 7936 262
25284 9439 282
27405 5364 308
31772 18810 308
1164 9926 262
20214 20027 243
15263 31182 308
5212 19664 279
13512 3028 276
20741 31973 308
14233 31349 308
3881 22179 279
22308 22984 269
27283 15990 308
32434 24130 308
8952 7700 252
14008 24023 282
10375 3771 262
13830 27746 308
22209 30905 308
4930 5959 236
20875 19506 274
10901 1111 262
14466 14110 196
2980 30708 308
9358 31889 308
962 1653 182
9146 20799 279
6243 29900 308
10051 24895 282
1492 3173 217
6126 25359 282
5674 26194 282
1183 23513 279
25721 29094 308
7976 30964 308
24646 14622 282
31583 8878 308
9534 11271 268
17523 11337 276
31528 28251 285
23680 17731 282
4632 29742 308
6752 4059 262
20197 27720 308
6597 208 262
15326 15892 253
20868 27756 308
29113 7865 308
25652 25793 233
3276 390 217
24312 19763 282
640 26515 282
23193 18230 274
27394 21157 308
13016 23641 282
4923 24403 282
18434 2436 279
27395 19047 308
32452 3965 308
9105 25991 282
29249 11441 308
4662 16149 276
3170 9266 262
