==17717== Memcheck, a memory error detector
==17717== Copyright (C) 2002-2009, and GNU GPL'd, by Julian Seward et al.
==17717== Using Valgrind-3.6.0.SVN-Debian and LibVEX; rerun with -h for copyright info
==17717== Command: RunCollatz.c++.app
==17717== 
1 999999 525
1 2 2
244661 824056 509
207655 354070 443
949897 227990 525
210524 390141 443
880576 925576 476
758590 122270 509
39913 426601 449
619117 241421 470
615553 851642 525
961720 767647 525
177650 214577 373
174726 81664 383
750686 298956 509
342969 701361 509
167686 46861 383
481675 5572 449
839013 860287 419
672808 41952 509
697899 852822 525
708293 146674 509
620922 883290 525
708762 350693 509
64096 153282 375
457000 450671 369
3808 256873 443
862016 182198 525
526771 833600 509
52658 148806 375
574259 394639 470
88967 32298 351
413293 467372 444
174986 138266 383
381065 934960 525
558444 515232 452
328793 335239 353
10814 726662 509
977303 927177 507
895431 852179 445
89040 533375 470
351944 447621 449
959822 523485 525
52030 3159 324
238578 816153 509
314421 904506 525
494360 446025 444
106465 24336 354
267415 67542 443
604975 849311 525
564616 748716 509
540918 482757 470
889540 545756 525
510430 953751 525
933535 643356 525
798962 10560 509
996547 295687 525
35855 979588 525
55094 409518 443
173366 330667 443
149651 373657 443
867236 305217 525
424866 657789 509
325082 336020 353
723377 779020 468
84461 15539 351
107660 465869 449
984167 54364 525
64208 237140 443
800375 12172 509
430484 157060 449
633437 580626 509
277453 228274 443
151728 851009 525
79156 740687 509
225623 308915 443
505651 906914 525
317742 264164 407
86805 283974 443
234824 46174 443
811756 806089 406
492135 573334 470
452569 734912 509
593029 839512 525
30408 471166 449
984339 451620 525
378759 965642 525
312485 599266 470
200562 417706 449
875721 740819 525
364773 55892 443
844707 849788 419
442760 57867 449
906568 281236 525
646044 85996 509
476897 190028 449
394324 489919 449
519638 961028 525
716299 959028 525
316560 295917 384
565751 295381 470
236038 442142 449
921413 21583 525
665097 546590 509
231598 738321 509
789225 269837 509
363140 502723 449
831158 606489 509
719125 11350 509
692909 322859 509
600994 40650 470
684532 545358 509
207993 422830 449
168626 811275 509
890580 816594 525
501360 328179 449
404287 669853 509
608781 279019 470
946636 65497 525
901447 757068 525
702150 591487 509
930 318148 443
469070 982973 525
928464 197177 525
696308 46855 509
989088 951885 458
920295 298123 525
573802 668613 509
158763 812549 509
497843 893436 525
292113 31694 443
294889 136422 443
842949 643933 525
95049 137643 354
850446 209145 525
328716 80662 443
728616 894853 525
518898 592485 452
96199 548143 470
851386 678597 525
570728 340285 470
45132 707473 509
430521 390001 449
284447 181050 443
865666 96466 525
620188 305963 470
262762 394619 441
298788 314923 384
598004 783016 509
936058 78410 525
549390 768436 509
316904 793957 509
381147 321613 441
872635 443613 525
2171 44945 324
564278 269717 470
855107 15714 525
983337 734972 525
453865 687271 509
970687 304866 525
454710 805891 509
949789 918779 507
119753 32384 354
472202 200746 449
911491 845293 476
181333 301592 443
743237 346442 509
514660 761297 509
102595 789760 509
985159 933712 507
863842 10819 525
809404 325353 509
109919 447139 449
982849 665802 525
695845 108336 509
642052 649333 416
602826 680317 509
699074 65666 509
355869 929229 525
285097 472371 449
907674 708512 525
498274 652228 509
427675 166397 449
315097 845914 525
377455 201349 443
295073 153759 443
102471 819434 509
885261 559811 525
924824 810248 525
714221 747340 424
382992 77017 443
254194 246929 350
831813 31672 509
625835 486640 470
89644 697130 509
121581 998334 525
199482 546735 470
231733 375004 441
657001 654711 429
571611 571066 359
650815 431746 509
128630 790909 509
958916 76201 525
674901 520513 509
150130 884169 525
23992 222800 386
650545 730566 504
49710 839469 525
52282 358578 443
30306 520343 470
765559 596307 509
933226 935855 414
744954 257097 509
713577 119134 509
556824 273979 470
563706 31161 470
497298 568895 470
321808 945883 525
818829 263772 509
924244 311633 525
378223 103233 443
869251 961117 507
180154 377670 443
148963 414245 449
357603 210612 443
2227 546419 470
104238 805727 509
142387 79471 354
953688 136562 525
822266 193244 509
586754 605983 403
212811 52901 383
40008 402570 443
92380 200345 383
787854 637559 504
770410 567729 509
675023 858724 525
502217 336831 449
87567 206461 383
390903 990148 525
67850 302562 443
917919 677899 525
302640 943620 525
795522 459667 509
43287 808680 509
792416 70257 509
53102 684706 509
548100 606404 434
619472 163636 470
161981 934287 525
516816 371236 470
520028 677377 509
561423 50653 470
904800 359968 525
60327 242522 443
423886 653810 509
23744 878683 525
187353 703584 509
484259 837980 525
966514 191515 525
645795 400352 509
274373 142274 443
871570 579334 525
422316 466348 444
712595 513304 509
128184 893416 525
276925 952244 525
677562 256800 509
244738 889493 525
473175 55922 449
745471 556895 509
46495 845733 525
130604 326957 443
251218 280428 407
399315 547075 470
409990 573302 470
664156 968576 525
643784 725454 504
579952 227269 470
477586 123093 449
101594 782390 509
86564 6530 351
284962 827305 509
223632 873506 525
100146 947961 525
952351 95341 525
387224 724093 509
798356 896421 525
152284 43351 375
827993 375920 509
374954 629956 509
464640 435164 444
378649 177216 443
561165 314903 470
600826 517131 452
361246 943819 525
292949 460576 449
502772 452902 444
278484 297927 389
143329 19918 375
402138 462756 449
620745 674008 509
714691 530100 509
800969 812515 406
755127 546070 509
411020 960466 525
515438 666964 509
206539 737717 509
803336 223751 509
781473 89553 509
754249 621774 509
191658 583662 470
186350 935660 525
334605 979669 525
341010 665909 509
204542 337005 443
305963 886327 525
724747 642723 504
79557 930385 525
848517 312925 525
801904 839826 525
15569 949777 525
152346 30236 375
852469 420694 525
292512 16039 443
213676 667041 509
20456 581286 470
274032 646839 509
993635 482824 525
404077 469209 449
977222 628855 525
986275 87919 525
79068 688630 509
163295 887186 525
843775 257910 525
748690 114961 509
895763 30082 525
175911 397244 443
544762 904215 525
413236 501574 444
397141 599071 470
230322 108603 386
552548 136001 470
66247 597787 470
407746 503882 449
19485 756523 509
438163 925675 525
156969 881626 525
582549 408883 470
422440 957884 525
17274 681133 509
913510 470469 525
174170 187320 365
192391 936324 525
829479 556161 509
596992 424216 470
971311 831733 525
227112 173945 386
939197 809504 525
394670 922294 525
21666 16546 279
847484 696623 525
296421 232101 407
2816 646537 509
2595 957326 525
759924 949966 525
145639 912019 525
200145 951962 525
352860 461293 449
628492 472928 509
221189 856648 525
962555 657493 525
528673 313560 470
432467 826130 509
717333 241644 509
919974 538633 525
997363 393677 525
35158 481910 449
271337 306183 389
206088 854143 525
831931 166979 509
639742 633132 416
447819 164050 449
1731 488755 449
19779 445287 449
57913 127797 354
462676 50086 449
322730 543924 470
848888 561493 525
967101 986467 458
134845 771534 509
852966 458689 525
984746 352548 525
582084 209561 470
304193 383809 441
873453 992649 507
101267 595395 470
416719 831514 509
203816 360226 443
588195 653092 509
179027 790375 509
61631 428884 449
525018 775216 509
397627 398304 343
834074 436641 509
153593 539383 470
163270 270567 443
920399 699100 525
290600 194100 443
962410 698905 525
883409 824207 525
814296 290602 509
860738 576426 525
271076 53559 443
392380 591080 470
697073 196285 509
44810 69680 340
474979 753745 509
557778 335627 470
717985 856341 525
615250 821036 509
75948 587313 470
760495 225417 509
580795 442387 470
297533 292196 358
996920 558816 525
619740 5453 470
69039 690528 509
911356 521976 525
393002 371910 436
578708 822683 509
374330 834843 509
85379 892624 525
884710 21914 525
89200 220260 386
778489 473289 509
908777 544391 525
389179 955580 525
383452 71053 443
490267 448082 444
132926 832887 509
975106 505087 525
71468 469977 449
687459 72565 509
786451 473757 509
417224 553292 470
52136 854651 525
65182 286609 443
316979 269197 407
376074 637289 509
476404 873914 525
441092 572577 470
622815 560859 447
378873 947282 525
750805 773739 468
218338 713868 509
587873 803664 509
27240 927815 525
819599 320077 509
757015 728091 424
983115 905051 507
107577 438392 449
213835 528154 470
954913 556888 525
847792 224205 525
529880 680514 509
605583 717759 509
588334 344444 470
713753 375791 509
270756 348167 441
855655 664051 525
213762 386708 443
286132 232716 407
746438 708788 424
793062 863419 525
681161 83365 509
443653 772465 509
291577 571745 470
214508 183921 373
559702 474583 470
671884 661534 442
669574 351364 509
842195 419838 525
26667 194572 383
292669 722489 509
790272 681524 504
228231 519879 470
20343 923976 525
103063 678187 509
60743 288861 443
843896 508552 525
707671 673150 504
287022 817690 509
44986 81613 351
842082 370252 525
567434 478326 470
713149 478406 509
358306 661124 509
231164 415579 449
639765 342717 509
981763 488972 525
972148 713060 525
448585 899433 525
742756 504596 509
834579 967439 525
355178 985345 525
572453 910410 525
706956 364357 509
790278 119260 509
126387 809868 509
659410 801025 504
928529 652611 525
119256 929634 525
145998 374973 443
947067 678301 525
791856 671347 504
520812 894727 525
219965 205786 386
909288 724258 525
762369 690168 504
116092 186306 383
843833 559388 525
402590 365825 436
200389 829664 509
620028 894306 525
661753 691881 442
391957 563701 470
196758 13931 383
805591 241886 509
566419 204371 470
994339 739722 525
981036 824267 525
623607 917471 525
615729 924898 525
828127 112237 509
703060 336105 509
591451 918350 525
191925 33353 383
906864 459028 525
638618 271164 509
313865 550318 470
79016 386396 443
565501 577334 390
120061 46901 354
249208 477935 449
384253 249436 441
157461 960469 525
742591 555259 509
84408 969905 525
479442 892663 525
510797 460595 444
647040 752764 504
331898 734123 509
387870 758207 509
381729 957163 525
929895 393985 525
11819 986899 525
292639 155420 443
393829 300579 441
481374 490402 382
532767 650924 509
92169 691328 509
201155 50581 383
802315 326710 509
134377 826477 509
178670 893296 525
863598 778916 525
600672 116581 470
505002 930423 525
865357 730904 525
672728 955796 525
218389 629931 509
437801 147529 449
138186 994099 525
916429 689697 525
189444 373709 443
638488 88621 509
657889 734637 504
320587 840020 525
479833 158247 449
48035 800132 509
188116 227850 386
156131 272146 443
210292 131200 383
293613 519550 470
875414 161763 525
249695 274415 407
912510 611110 525
131051 821312 509
56890 10610 340
386189 406569 436
619649 302620 470
992086 47675 525
521267 799759 509
841554 299181 525
341921 725368 509
999699 169080 525
399188 719090 509
33993 173598 383
728029 938609 525
64804 468568 449
108483 291852 443
531942 101943 470
963230 893571 507
927578 694748 525
30227 56034 340
907088 276697 525
204824 995594 525
256728 577875 470
841347 965282 507
170685 809394 509
105825 708079 509
169936 853543 525
679571 966386 525
781469 827964 468
227624 280273 443
788814 188557 509
566482 460375 470
463459 892246 525
392400 930933 525
691611 653478 442
764484 604245 509
321895 997213 525
276074 69885 443
376965 636410 509
993445 660369 525
995630 683438 525
792581 389522 509
101997 342524 443
682798 850589 525
834236 24325 509
70254 908263 525
708001 273877 509
684886 422050 509
338111 509642 449
71074 298019 443
297039 334050 384
125331 881792 525
349862 94893 443
153600 77668 375
872690 452125 525
316210 607140 470
735264 936043 525
130341 504609 449
