==14501== Memcheck, a memory error detector
==14501== Copyright (C) 2002-2009, and GNU GPL'd, by Julian Seward et al.
==14501== Using Valgrind-3.6.0.SVN-Debian and LibVEX; rerun with -h for copyright info
==14501== Command: RunCollatz.c++.app
==14501== 
18043 8470 279
16817 17147 217
19578 4243 279
7199 16498 276
5966 11897 268
10253 13505 276
7834 11026 268
20449 19676 274
13652 15404 271
3041 13035 268
351 5216 238
2948 17270 276
3365 8611 262
2788 2337 209
21452 4688 279
11016 18020 279
13157 6358 268
13692 11259 276
10600 20891 279
6282 16565 276
11312 16534 276
8595 19146 279
6085 7569 262
17346 19736 279
1498 20387 279
11296 1849 268
4128 14243 276
19118 7493 279
1379 430 182
9830 1355 262
5118 20845 279
19375 18274 261
5727 11592 268
8058 16327 276
11007 14340 276
11417 844 268
9399 20012 279
19989 15483 279
6106 15860 276
13744 7604 276
14772 3565 276
9452 18900 279
17807 7094 279
4918 19186 279
7524 14747 276
20540 12641 279
14116 18440 279
9440 19843 279
8557 17497 276
14694 19563 279
10362 4635 262
20407 19760 274
3171 18921 279
13768 9277 276
13306 6036 276
16880 6603 276
9600 4856 262
4028 5933 236
11950 8945 268
3643 19474 279
2216 2708 209
10640 16332 276
21148 20080 256
14699 8229 276
16102 7917 276
6318 4988 262
12552 5249 268
3273 15723 276
2695 17040 276
3525 16001 276
1601 20404 279
1129 11201 268
3785 5156 215
17133 15734 266
14100 20775 279
13733 16316 271
2008 2898 209
11172 1681 268
1502 4395 238
9909 17603 276
12312 16226 276
1116 3389 217
21475 4388 279
19112 2695 279
21428 1161 279
18695 1554 279
90 19823 279
12754 3874 268
3504 8412 262
19608 17603 279
7712 11865 268
12444 9719 268
14762 2140 276
11400 16263 276
6535 21308 279
12391 18847 279
16060 13506 271
761 16059 276
17894 19873 274
18754 17847 261
21034 15974 279
19400 21123 274
14322 10679 276
3522 17825 279
19091 1654 279
13953 5327 276
13518 4921 276
15046 6805 276
7061 4970 262
1593 13596 276
4803 13983 276
10967 20863 279
6014 11728 268
15447 2433 276
10126 12725 268
20280 9684 279
7224 18204 279
9332 70 262
7408 12853 268
17894 5023 279
14506 10372 276
10350 6549 260
15292 3921 276
13354 878 276
8891 14947 276
14473 13694 258
7455 3965 262
13081 13469 276
15693 7052 276
15901 4343 276
19777 14706 279
14026 5525 276
11435 1883 268
5595 18842 279
14735 2014 276
2390 7766 262
12385 12740 263
14315 6202 276
16660 6193 276
7080 4075 262
21140 77 279
17769 7119 279
4042 9374 262
20587 19734 274
16426 15013 271
2602 14728 276
8243 16628 276
20252 19677 274
18510 4372 279
17044 11770 276
6385 19434 279
19535 18769 261
10698 12374 268
3496 5883 238
18567 10575 279
9958 18231 279
10652 6251 260
3875 14693 276
15625 2987 276
12952 10575 268
17999 15554 279
3827 4767 215
10706 2605 262
2969 7741 262
6976 20013 279
19510 13360 279
17971 17570 279
10654 7194 260
8469 14149 276
13076 5560 268
3248 1558 217
2317 13899 276
7809 6191 257
7117 1958 262
9177 20069 279
12533 5701 268
14147 16360 271
10468 3378 262
18964 13437 279
11118 4464 268
11974 9153 268
17823 8470 279
5247 7002 262
15663 13715 271
21150 7264 279
19275 2923 279
8822 117 262
16821 16630 266
6307 2463 262
18588 15484 279
1056 9645 262
21185 15203 279
4529 10177 262
18580 2017 279
2139 8223 262
6481 14112 276
17376 2829 276
1107 1148 151
9830 16770 276
14863 9504 276
2558 12663 268
12427 11380 263
12779 7773 268
6535 19086 279
10235 3647 262
13094 11291 263
13292 12804 276
5018 17820 279
1506 2123 180
19837 3644 279
10346 4843 262
17755 6246 279
7671 18861 279
7393 17501 276
14156 781 276
5530 16713 276
13443 17956 279
6618 4747 262
4253 13153 268
2357 14488 276
16799 15451 266
4303 8616 262
6779 9321 260
4961 8284 262
11443 3323 268
11928 314 268
8166 8207 159
6559 15836 276
5594 13952 276
11861 19749 279
14732 17391 271
14987 6700 276
13871 129 276
11446 18123 279
13282 13802 245
11136 8606 268
7778 15438 276
17221 14556 271
3283 707 217
1365 14726 276
4030 13293 276
15039 12195 276
25 123 119
6555 5618 262
14074 18416 279
3891 7331 262
14332 18877 279
14030 6727 276
19006 4001 279
3375 10812 262
17802 14510 279
19417 4105 279
8473 15163 276
18661 11756 279
15870 20025 279
5007 19899 279
11843 20046 279
10618 11867 268
20168 17173 279
17484 12767 276
14114 21374 279
20098 6970 279
18776 12653 279
13697 16307 271
16653 17071 266
5644 12979 268
10106 3586 262
17084 18578 279
18748 14269 279
8858 13143 268
12819 13865 276
11566 3186 268
12435 708 268
15052 11128 276
17881 11061 279
2420 10519 262
10960 1042 262
17489 8261 276
13694 9710 276
3092 8871 262
5305 8736 262
375 15411 276
12321 17458 276
12514 9594 268
10252 21372 279
1262 1595 177
13761 12827 276
4781 4720 197
13535 19833 279
15848 9940 276
9419 18267 279
20459 20378 243
19308 16472 279
7164 11527 268
4706 10256 262
20398 10011 279
18991 20773 274
3947 9837 262
16756 16460 235
19431 5532 279
16356 20692 279
7127 8642 252
12043 11907 250
13361 4103 276
10265 7734 260
14042 19683 279
4525 13026 268
18586 2358 279
8023 4274 262
13884 12728 276
14529 12807 276
1265 12045 268
12104 5211 268
407 7384 262
195 19837 279
12916 16551 276
19053 20042 274
3717 9621 262
10474 17078 276
13723 20738 279
3336 6290 262
18946 7861 279
19316 16056 279
10218 5863 262
20329 2627 279
18591 13383 279
15434 19855 279
3953 6062 236
3590 4359 238
13446 3785 276
2721 4887 238
20336 298 279
3454 2577 217
9919 13928 276
19655 2166 279
13191 1516 268
8456 10661 260
9376 6296 260
5242 19594 279
12159 4096 268
746 9274 262
17479 16179 266
7654 21432 279
766 11244 268
4316 14212 276
15028 7036 276
19099 13889 279
7334 1078 262
16465 17252 266
15005 14645 271
19418 6721 279
16160 6399 276
17382 4061 276
12695 1148 268
2179 3378 217
5244 2925 238
12652 1247 268
19104 20305 274
1204 19869 279
10073 5519 262
12606 3626 268
12554 10230 268
17514 19888 279
11307 12504 263
15664 4837 276
5674 13607 276
11558 358 268
20005 7464 279
4418 11224 268
8612 6597 257
14601 13855 258
9521 5778 262
15101 7149 276
