==818== Memcheck, a memory error detector
==818== Copyright (C) 2002-2009, and GNU GPL'd, by Julian Seward et al.
==818== Using Valgrind-3.6.0.SVN-Debian and LibVEX; rerun with -h for copyright info
==818== Command: RunCollatz.c++.app
==818== 
1 10 20
100 200 125
201 210 89
900 1000 174
315555 316497 322
519430 775761 509
177146 423517 449
615909 319521 470
596634 390469 470
15458 16018 253
743476 619811 509
553341 763708 509
258888 579543 470
366038 69651 443
16526 807659 509
891895 153527 525
106001 276964 443
410173 201978 449
259440 621782 470
867343 250388 525
70965 32222 340
338655 246206 407
733570 306603 509
871857 884637 432
307908 317388 384
19409 316675 443
66031 29647 340
68854 951445 525
977036 885868 507
934746 746399 525
131791 297589 443
404929 227952 443
965632 508594 525
369561 26997 443
390968 444350 449
503379 168417 449
307160 775192 509
886761 454464 525
921787 22638 525
939873 744008 525
284025 697913 509
780847 297262 509
590339 695636 509
453400 28094 449
123417 29076 354
123053 503174 449
814241 811281 375
206287 943434 525
499627 732623 509
344272 890718 525
115728 633876 509
121440 886591 525
870598 158744 525
656302 812824 504
512740 772080 509
774340 490859 509
526128 985475 525
866523 370488 525
231195 344663 407
39999 827321 509
356470 79187 443
149983 144233 357
896966 570767 525
997390 605332 525
726740 30390 509
865014 561589 525
342463 905419 525
753125 406237 509
650400 179359 509
50807 30239 324
275107 994455 525
674452 230964 509
823294 537440 509
155565 426830 449
166442 833413 509
717815 669507 504
276248 507560 449
982177 696356 525
378528 591341 470
943976 173526 525
415231 121052 449
326783 789244 509
751620 98985 509
259084 769115 509
745024 658878 504
438166 93885 449
419336 466799 444
785804 655786 504
841396 94986 525
170805 994970 525
830060 959548 525
760162 249978 509
693103 705968 504
214012 207998 373
805207 22286 509
710083 91216 509
183818 477232 449
230015 545807 470
872941 549197 525
9396 989998 525
568882 426791 470
395725 713627 509
278973 787653 509
137206 735778 509
552955 274460 470
280460 60365 443
777857 541181 509
69340 794042 509
338728 581502 470
561674 12918 470
342046 302395 384
273043 195898 443
622745 693992 509
559816 93986 470
197058 138971 383
327441 949208 525
712371 145134 509
282525 846388 525
301355 557198 470
519196 42484 470
354958 775679 509
11842 515050 470
429158 165632 449
602843 109544 470
462731 456517 444
834380 24732 509
290314 915795 525
815822 121003 509
390983 435382 449
9460 685346 509
699183 949949 525
666465 134044 509
994834 272098 525
83501 341304 443
932523 436790 525
16006 356007 443
906186 209169 525
759318 901663 525
100803 865200 525
78826 3844 351
458530 487895 444
517254 524026 439
641994 699255 442
321249 462153 449
444153 848507 525
295325 953318 525
492557 308059 449
839564 785479 525
841425 800757 525
476426 901131 525
96016 265504 443
901295 871669 445
135375 274158 443
588087 480901 470
512108 514911 364
77300 529619 470
173677 943948 525
362438 511635 449
113961 691295 509
686779 420285 509
876226 258913 525
461990 273724 449
320192 831414 509
744971 117020 509
749518 571551 509
744972 736169 424
925469 662990 525
709548 537729 509
872145 654758 525
154003 955547 525
516380 292905 470
709835 737545 424
208390 157431 373
583129 152469 470
926628 982897 507
530635 477692 470
679166 489980 509
341708 850607 525
1494 835586 509
634013 493360 509
395970 939619 525
933048 104709 525
924820 484879 525
81825 878652 525
546335 606350 452
910297 453852 525
697247 301714 509
332757 508079 449
25965 702099 509
234581 266675 407
118305 334238 443
685923 944692 525
39363 899259 525
191309 527853 470
86156 474556 449
626274 338821 470
198214 697413 509
792807 517958 509
597583 123861 470
709866 672833 504
926652 914462 445
906655 947717 507
666111 455061 509
1129 848704 525
976868 439613 525
431544 752490 509
198053 46762 383
637180 324761 509
210268 549984 470
436968 979883 525
800591 208792 509
896619 428908 525
877631 324306 525
254544 205184 443
239345 624367 470
866079 650120 525
147908 227889 386
912308 323845 525
785526 180872 509
498745 507728 426
169910 121552 383
714134 845757 525
949013 527650 525
421572 231541 449
354451 959980 525
406910 752508 509
347137 475508 449
893033 302552 525
150567 837418 509
352626 73279 443
553308 917642 525
216824 910220 525
572618 93452 470
288188 21574 443
81307 289473 443
168097 399461 443
890030 449976 525
574191 41867 470
78161 316418 443
149512 131224 375
731835 173235 509
463685 987625 525
518126 301672 470
706331 391910 509
951545 241363 525
927384 683603 525
900545 689733 525
3609 29284 308
189565 62795 383
107756 512484 470
283900 280585 358
973373 847003 507
378912 773026 509
586192 359003 470
518197 776314 509
542682 980941 525
853261 369554 525
346109 914007 525
611012 283036 470
999572 727269 525
159367 384130 443
335335 458286 449
717364 186263 509
7802 319480 443
960382 806730 525
296564 209966 443
953745 687635 525
839362 343567 525
321911 769892 509
8655 574695 470
514812 317820 470
125242 609881 470
206895 410139 449
56539 337172 443
304364 783902 509
436647 533838 470
735358 402167 509
872916 748735 525
681546 901710 525
434452 55966 449
726524 226437 509
385623 801764 509
755763 796116 468
835445 737761 468
901086 28971 525
15449 587400 470
113965 786238 509
85650 101047 341
269382 794969 509
737318 328890 509
351426 223149 443
511216 487653 426
127197 820038 509
317289 305755 384
879836 775227 525
88615 695956 509
351521 302847 441
38197 90055 351
179205 79822 383
419341 388842 449
52128 620588 470
47355 363395 443
49817 672391 509
524575 862951 525
950146 304113 525
959559 118155 525
256779 863028 525
866068 4066 525
973167 380486 525
920663 467327 525
184123 379564 443
381082 678031 509
325481 610833 470
743257 956667 525
116944 487072 449
902067 239492 525
321416 766655 509
892981 302236 525
938345 910683 476
465648 149589 449
460192 949217 525
688215 767803 504
148102 260370 443
136586 119257 344
207068 933226 525
366850 436004 449
403392 948177 525
560776 747617 509
236309 906712 525
675471 877623 525
138360 685875 509
617038 16098 470
747763 257352 509
170146 23365 383
449204 675861 509
493141 643099 509
774471 602282 509
285204 142233 443
773005 75856 509
804913 453775 509
487410 842635 525
409637 822632 509
683739 298705 509
216658 306232 443
699542 268049 509
850361 148483 525
438594 446754 400
967341 946139 414
391399 721259 509
537751 331488 470
422971 671721 509
462134 959283 525
828061 695620 504
467646 795123 509
917080 295446 525
699234 354408 509
132003 450890 449
774727 971761 525
600336 605080 403
815773 356338 509
170194 623490 470
571245 482430 470
473421 645032 509
812002 224492 509
790030 885028 525
934806 54251 525
723266 68568 509
863850 374216 525
939867 194866 525
420714 28688 449
839563 840946 357
120120 982391 525
313175 80849 443
897815 156763 525
